ExtractSuperClass(com.google.gson.stream.JsonWriter;Class_1;[lenient|stack|stackSize];[getSerializeNulls|newline|push|setHtmlSafe|setLenient|setSerializeNulls];[])
DecreaseFieldSecurity(StateManagement.ContentState.Type;;[stateType];[];[])
MoveMethod(de.qabel.box.storage.DeleteOnCloseFileInputStream;java.util.Properties;[];[close];[])
EncapsulateField(org.sagebionetworks.bridge.rest.UserSessionInterceptor.ResponseMatcher;;[SIGNOUT_PATHS];[];[])
DecreaseFieldSecurity(newNetwork.ControlHeader;;[sendMetaData];[];[])
MoveField(prototype.dataserver.FileRegisterer;com.sk.cache.dist.unpack.RACInputStream;[execute];[];[])
ExtractClass(org.badiff.fmt.GdiffFormat.GdiffOpQueue;Class_2;[ext];[copy];[])
ExtractSubClass(prototype.datastore.DataStore;Class_3;[var];[getFile|read];[])
PullUpMethod(org.badiff.imp.BadiffFileDiff.Header.Stats.Optional.FileBadiffOpQueue;org.badiff.q.OpQueue;[];[toString];[])
PullUpField(prototype.utils.FileReader;java.lang.Thread;[file];[];[])
MoveField(org.sagebionetworks.bridge.rest.model.ScheduledActivityTest.ClientData;prototype.dbserver.LogRegisterer;[name];[];[])
ExtractSubClass(org.sagebionetworks.bridge.rest.ApiClientProvider.RetrofitServiceLoader.AuthenticatedClientProvider.AuthenticatedClientProviderBuilder;Class_4;[changeListeners];[withExternalId|withPassword];[])
MoveMethod(prototype.dataserver.FileRegisterer;net.rbgrn.android.glwallpaperservice.LogWriter;[];[getExecute];[])
PullUpField(com.twitter.intellij.pants.bsp.InvalidTargetException;java.lang.Throwable;[myMessage];[];[])
PushDownMethod(org.badiff.q.OpQueue;org.badiff.imp.FileDiff.FileOpQueue;[];[consummerize];[])
MoveField(net.netne.mina.ssl.SslSocketFactory;org.badiff.q.BufferChunkingOpQueue;[sslEnabled];[];[])
ExtractSubClass(prototype.cache.FileRegisterer;Class_5;[AppManager];[run];[])
ExtractSubClass(net.rbgrn.android.glwallpaperservice.LogWriter;Class_6;[];[getExecute];[])
ExtractSubClass(se.sics.kompics.network.netty.serialization.JavaSerializer.CompactObjectInputStream;Class_7;[];[readStreamHeader];[])
IncreaseMethodSecurity(com.google.gson.internal.bind.JsonTreeReader;;[];[toString];[])
PullUpField(prototype.utils.FileReader;java.lang.Thread;[flag];[];[])
ExtractClass(jwbroek.util.properties.EnhancedProperties;Class_8;[propertyHandlerFactory];[getProperty|getProperty|getPropertyAsLong|setProperty|setProperty];[])
MoveField(org.sagebionetworks.bridge.rest.Config.Props;prototype.custodian.FileRegisterer;[environment];[];[])
