ExtractSuperClass(com.igormaznitsa.jprol.easygui.JHtmlLabel.LinkListener.HtmlLinkAddress;Class_1;[end];[checkPosition];[])
IncreaseMethodSecurity(gui.reports.supply.SupplyReportView;;[];[enableMonths];[])
ExtractSuperClass(com.veisite.vegecom.ui.framework.views.UIFrameworkView;Class_2;[id|serialVersionUID];[setPriority|setTitle];[])
PullUpField(com.igormaznitsa.jprol.exceptions.ProlRepresentationErrorException;com.igormaznitsa.jprol.exceptions.ProlAbstractCatcheableException;[serialVersionUID];[];[])
ExtractSubClass(com.icoke.coupon.soap.ServiceFaultException;Class_3;[faultMessage];[getFaultMessage];[])
ExtractSuperClass(com.igormaznitsa.jprol.logic.triggers.AbstractJProlTrigger;Class_4;[];[removeSignature];[])
PushDownMethod(java.lang.Throwable;com.sap.nic.nlp.ne.QNMinimizer.eState.eLineSearch.eScaling.SurpriseConvergence;[];[getInternalStackTrace];[])
DecreaseFieldSecurity(thinlet.Thinlet;;[timer];[];[])
ExtractClass(org.officelaf.OfficeTitlePane.CloseAction.IconifyAction.RestoreAction.MaximizeAction.SystemMenuBar;Class_5;[];[getPreferredSize];[])
IncreaseMethodSecurity(jtrade.io.BinaryTickFileReader;;[];[readTicks];[])
PushDownField(java.lang.Throwable;com.sap.nic.nlp.ne.QNMinimizer.eState.eLineSearch.eScaling.SurpriseConvergence;[cause];[];[])
PullUpField(org.numenta.nupic.util.UniversalRandom;java.util.Random;[bigSeed];[];[])
PullUpField(ch.idsia.mario.engine.sprites.Fireball;ch.idsia.mario.engine.sprites.Sprite;[anim];[];[])
ExtractSuperClass(br.com.futbid.domain.Card;Class_6;[subType];[getMaxPageRes|getpType];[])
MoveMethod(gui.storageunit.StorageUnitView;com.igormaznitsa.jprol.libs.JProlCoreLibrary.SubAtomIterator.AtomConcatState;[];[enableOK];[])
ExtractSubClass(com.google.gson.internal.Streams.AppendableWriter;Class_7;[appendable];[close|flush];[])
ExtractSuperClass(DropboxGrader.Email.Emailer;Class_8;[];[email|emailAssignment|getPasswordAuthentication];[])
ExtractSuperClass(DropboxGrader.GuiElements.ContentView;Class_9;[];[];[])
EncapsulateField(com.igormaznitsa.jprol.logic.JProlTreeBuilder.Result;;[term];[];[])
ExtractClass(se.krka.kahlua.vm.LuaCallFrame;Class_10;[thread];[clearFromIndex|get|isLua|stackClear|stackCopy|toString];[])
PullUpField(org.pac4j.saml.transport.DefaultPac4jSAMLResponse.Pac4jServletOutputStreamWriter;java.io.OutputStreamWriter;[outputStream];[];[])
ExtractSuperClass(DropboxGrader.FileManagement.FileManager;Class_11;[ATTRIBUTES];[download|fileExists|getAttribute|getAttributes|getFileInfo|getFiles];[])
ExtractSuperClass(checker.gui.tree.LicenseTreeModel.FilterType;Class_12;[];[getChildCount|getIndexOfChild|getRoot|isLeaf|removeTreeModelListener];[])
DecreaseFieldSecurity(com.igormaznitsa.jprol.easygui.MainFrame.JLFRadioButtonItem;;[serialVersionUID];[];[])
ExtractSuperClass(com.igormaznitsa.jprol.libs.JProlCoreLibrary.SubAtomIterator.AtomConcatState.For3CounterStorage.BofKey.SofKey;Class_13;[vars];[equals|predicateCATCH|predicateCannotBeProven1|predicateRETRACT1|predicateRETRACTALL|predicateRETRACTZ];[])
EncapsulateField(Scape.ScapeTrain;;[params];[];[])
ExtractSubClass(com.igormaznitsa.jprol.libs.JProlCoreLibrary.SubAtomIterator.AtomConcatState.For3CounterStorage;Class_14;[low];[isEnd|predicateABOLISH1|predicateATOMCHARCODES|predicateSORT2];[])
MoveMethod(checker.FileID;Class_8;[];[equals];[])
ExtractSuperClass(br.com.futbid.domain.enumeration.League;Class_15;[display];[findBy];[])
PullUpField(gui.reports.productstats.ProductStatsReportView;javax.swing.DialogView;[_monthsLabel];[];[])
IncreaseMethodSecurity(DropboxGrader.TextGrader.TextAssignment;;[];[toText];[])
PullUpField(ca.spaz.gui.JMonthChooser;javax.swing.JComboBox;[MONTHS];[];[])
ExtractSuperClass(com.igormaznitsa.jprol.libs.JProlCoreLibrary.SubAtomIterator.AtomConcatState.For3CounterStorage;Class_16;[value];[predicateATOMLENGTH|predicateFINDALL3];[])
IncreaseMethodSecurity(org.snmp4j.smi.OID;;[];[compareTo];[])
EncapsulateField(com.igormaznitsa.jprol.it.MiscTest.Result;;[name];[];[])
MoveMethod(gui.main.SessionMenu;assignment6.BalanceAddExperiment.JavaExperiment;[];[menuSelected];[])
PullUpField(assignment6.BalanceAddExperiment.JavaExperiment.BSTExperiment;java.lang.Process;[bst];[];[])
ExtractClass(gui.productgroup.ProductGroupView;Class_17;[_nameField|_supplyBox|_supplyField];[actionPerformed|buttonPressed|cancel|getProductGroupName|getSupplyUnit|getSupplyValue|keyTyped|layoutAddPanel|setSupplyUnit|valuesChanged];[])
MoveMethod(com.sap.nic.nlp.ne.QNMinimizer.eState.eLineSearch.eScaling.SurpriseConvergence;org.anon.smart.d2cache.store.repository.datasource.resources.threads.PThread;[];[getStackTrace];[])
ExtractSubClass(ca.spaz.cron.foods.NutrientEditorTable;Class_18;[nutrientTable];[setEditable];[])
MoveField(DropboxGrader.GuiElements.ContentViewManager;com.igormaznitsa.jprol.easygui.tokenizer.JProlTokenMaker;[constraints];[];[])
PullUpField(it.cnr.imaa.essi.lablib.gui.checkboxtree.QuadristateButtonModel;javax.swing.DefaultButtonModel;[serialVersionUID];[];[])
ExtractSubClass(ca.spaz.cron.targets.TargetEditorTable;Class_19;[model];[fireTargetsChanged];[])
DecreaseMethodSecurity(at.fhv.audioracer.ui.util.awt.RepeatingReleasedEventsFixer.ReleasedAction.Reposted.RepostedKeyEvent;;[];[assertEDT];[])
PullUpField(assignment9.PriorityQueueAddExperiment;java.lang.Process;[data];[];[])
PullUpMethod(org.pac4j.saml.transport.DefaultPac4jSAMLResponse.Pac4jServletOutputStreamWriter;java.io.OutputStreamWriter;[];[getOutgoingContent];[])
IncreaseMethodSecurity(com.igormaznitsa.jprol.logic.JProlTreeBuilder;;[];[readPhraseAndMakeTree];[])
PullUpMethod(org.snmp4j.smi.OID;java.util.AbstractVariable;[];[encodeBER];[])
PullUpMethod(com.veisite.vegecom.ui.components.tabbedpane.CloseableTabbedPane;javax.swing.JTabbedPane;[];[mouseClicked];[])
ExtractSubClass(net.imagej.ui.swing.updater.ReviewSiteURLsDialog.UpdatableTableDataModel.URLComboBoxEditor.UpdatableSitesTable;Class_20;[];[prepareRenderer|valueChanged];[])
IncreaseMethodSecurity(com.puzzletimer.gui.MainFrame.ScramblePanel.TimerPanel.TimesScrollPane;;[];[mouseClicked];[])
ExtractSubClass(tk.amberide.ide.swing.misc.ThinSplitPane.SplitPaneWithZeroSizeDividerUI.ZeroSizeDivider;Class_21;[];[dragDividerTo|paint];[])
ExtractSubClass(DropboxGrader.WorkerThread;Class_22;[gui|manager|workerThread];[];[])
PullUpMethod(org.anon.smart.smcore.anatomy.SMCorePrintStream;java.io.PrintStream;[];[println];[])
EncapsulateField(com.quseit.common.jtar.TarHeader;;[userId];[];[])
PullUpMethod(org.pac4j.core.profile.FormattedDate;java.util.Date;[];[getFormat];[])
PullUpField(gui.reports.productstats.ProductStatsReportView;javax.swing.DialogView;[_monthsField];[];[])
MoveField(DropboxGrader.TextGrader.TextSpreadsheet;Class_22;[GRADEDELIMITER];[];[])
PullUpField(gui.reports.supply.SupplyReportView;javax.swing.DialogView;[_valuesPanel];[];[])
ExtractSubClass(com.icoke.coupon.webservices.ServiceStatus;Class_23;[description];[getHttpCode];[])
PushDownField(java.lang.Process;assignment6.BalanceRemoveExperiment.JavaRemove;[bst];[];[])
MoveField(net.imagej.ui.swing.updater.ReviewSiteURLsDialog;org.getopt.luke.Luke;[generalChoiceGroup];[];[])
PullUpMethod(com.sap.nic.nlp.ne.QNMinimizer.eState.eLineSearch.eScaling.SurpriseConvergence.NumericallyZeroGradient.MaxEvaluationsExceeded.Record.QNInfo.NegativeCurvature.ZeroGradient;java.lang.Throwable;[];[plusAndConstMult];[])
ExtractSuperClass(Class_21;Class_24;[];[];[])
DecreaseFieldSecurity(com.microsoft.applicationinsights.test.framework.telemetries.TelemetryItem;;[docType];[];[])
ExtractSuperClass(checker.localization.Locale;Class_25;[];[lc];[])
DecreaseMethodSecurity(com.sap.nic.nlp.ne.QNMinimizer.eState.eLineSearch.eScaling.SurpriseConvergence.NumericallyZeroGradient.MaxEvaluationsExceeded.Record.QNInfo.NegativeCurvature.ZeroGradient;;[];[computeDir];[])
ExtractSuperClass(DropboxGrader.UnitTesting.UnitTester;Class_26;[currentFile|currentPreviousCode|force];[arrayToString|count|run|runTests];[])
DecreaseFieldSecurity(br.com.futbid.domain.enumeration.Country;;[value];[];[])
