ExtractSubClass(net.imglib2.algorithm.localization.PeakFitterTest;Class_1;[TOLERANCE];[testEllipticGaussian];[])
PushDownMethod(net.imglib2.algorithm.region.localneighborhood.AbstractNeighborhood;net.imglib2.algorithm.region.localneighborhood.EllipsoidNeighborhood;[];[dimensions];[])
ExtractSuperClass(net.imglib2.algorithm.region.localneighborhood.EllipseCursor.CursorState;Class_2;[];[getDistanceSquared|getPhi];[])
PullUpField(net.imglib2.algorithm.region.localneighborhood.BufferedRectangularNeighborhoodCursor;net.imglib2.algorithm.region.localneighborhood.AbstractNeighborhoodCursor;[currentPos];[];[])
PullUpField(net.imglib2.algorithm.region.localneighborhood.BufferedRectangularNeighborhood;net.imglib2.algorithm.region.localneighborhood.AbstractNeighborhood;[size];[];[])
EncapsulateField(net.imglib2.algorithm.fft.FourierTransform.PreProcessing.Rearrangement.FFTOptimization;;[originalOffset];[];[])
ExtractClass(net.imglib2.algorithm.region.localneighborhood.EllipsoidCursor.CursorState;Class_3;[];[getPhi|getRelativePosition|jumpFwd];[])
ExtractSuperClass(net.imglib2.algorithm.fft.FourierTransform.PreProcessing.Rearrangement.FFTOptimization;Class_4;[errorMessage|extendedZeroPaddedSize|fftImage|processingTime|rearrangement|relativeImageExtensionRatio];[getCustomOutOfBoundsStrategy|getExtendedSize|getFFTInputOffset|getFFTInputSize|getImageType|getMinExtension|getNumThreads|getOriginalOffset|getOriginalSize|getRelativeImageExtension|setExtendedOriginalImageSize|setFFTOptimization|setPreProcessing|setRelativeFadeOutDistance];[])
MoveMethod(net.imglib2.algorithm.fft2.FFTConvolution;Class_1;[];[setupFFTs];[])
ExtractSuperClass(net.imglib2.algorithm.transformation.ImageTransform;Class_5;[interpolatorFactory|outputImageFactory|transformed];[checkInput|getNewImageSize|getOffset|getResult|process];[])
DecreaseFieldSecurity(net.imglib2.algorithm.region.localneighborhood.HyperSphereNeighborhoodGPL;;[radius];[];[])
MoveMethod(org.netbeans.modules.remotefs.ftp.FTPDialogs;net.imglib2.algorithm.region.localneighborhood.EllipsoidCursor.CursorState;[];[incorrectPassword];[])
PullUpMethod(org.netbeans.modules.remotefs.ftp.FTPDialogs;java.lang.Object;[];[startdirNotFound];[])
ExtractSuperClass(net.imglib2.algorithm.pde.PeronaMalikAnisotropicDiffusion.DiffusionFunction.StrongEdgeEnhancer.WideRegionEnhancer;Class_6;[];[];[])
ExtractClass(Class_5;Class_7;[];[];[])
IncreaseFieldSecurity(org.netbeans.modules.remotefs.ftp.FTPDialogs;;[cursorstate];[];[])
DecreaseFieldSecurity(net.imglib2.algorithm.math.PickImagePeaks.Peak;;[peakVal];[];[])
PullUpField(net.imglib2.algorithm.fft.LocalNeighborhoodCursor;net.imglib2.algorithm.fft.AbstractCursor;[maxCount];[];[])
MoveMethod(net.imglib2.algorithm.region.localneighborhood.EllipseCursor.CursorState;net.imglib2.algorithm.transformation.ImageTransform;[];[fwd];[])
ExtractClass(net.imglib2.algorithm.region.localneighborhood.EllipseNeighborhood;Class_8;[];[cursor|localizingCursor];[])
ExtractClass(net.imglib2.algorithm.pde.PeronaMalikAnisotropicDiffusion.DiffusionFunction.StrongEdgeEnhancer.WideRegionEnhancer;Class_9;[];[];[])
EncapsulateField(net.imglib2.algorithm.fft.FourierTransform.PreProcessing.Rearrangement.FFTOptimization;;[complexType];[];[])
IncreaseMethodSecurity(net.imglib2.algorithm.fft.FourierTransform.PreProcessing.Rearrangement.FFTOptimization;;[];[getRearrangement];[])
