ExtractSuperClass(org.getopt.luke.LukePlugin;Class_1;[app|ir];[getDirectory];[])
ExtractSuperClass(com.tibco.as.sql.ASSQLResult;Class_2;[m_nameToIndex|m_queryAfterLast|m_queryColumnInfo|m_queryColumnSpec|m_queryIsFirst|m_querySpaceNames];[isAfterLast|wasLastValueNull];[])
ExtractSuperClass(com.tibco.as.sql.CreateStatement;Class_3;[EVICTION_POLICY|PHASE_INTERVAL|QUERY_TIMEOUT|READ_TIMEOUT|REPLICATION_POLICY|ROUTED|VIRTUAL_NODE_COUNT|m_indexList];[processUpdate|setPrimaryKeys];[])
PullUpField(com.tibco.as.sql.grammar.ASSQLParser.alias_return.column_name_return.column_value_return.key_type_return.rterm_list_return.rterm_identifier_return.rterm_return.select_column_return.select_quantifier_return.set_clause_return.space_property_return.space_capacity_return.space_cache_policy_return;org.antlr.runtime.ParserRuleReturnScope;[key];[];[])
PushDownField(org.antlr.runtime.ParserRuleReturnScope;com.tibco.as.sql.grammar.ASSQLParser.alias_return.column_name_return.column_value_return.key_type_return.rterm_list_return.rterm_identifier_return.rterm_return.select_column_return;[key];[];[])
ExtractSubClass(default.MyStack;Class_4;[];[push];[])
MoveField(org.getopt.luke.plugins.ZipfAnalysisPlugin;org.pac4j.core.profile.FormattedDate;[chart];[];[])
ExtractSuperClass(com.tibco.as.jdbc.SimpleAuthenticate;Class_5;[keyFile];[createUserCredential];[])
DecreaseMethodSecurity(org.swingeasy.CustomizableOptionPane.CustomizableFileChooserImpl;;[];[getReturnValue];[])
PullUpMethod(com.tibco.as.sql.grammar.ASSQLParser.alias_return.column_name_return.column_value_return.key_type_return.rterm_list_return.rterm_identifier_return.rterm_return.select_column_return.select_quantifier_return.set_clause_return.space_property_return.space_capacity_return.space_cache_policy_return.space_distribution_policy_return.space_eviction_policy_return.space_file_sync_interval_return.space_forget_old_value_return.space_host_aware_replication_return.space_lock_scope_return.space_lock_ttl_return.space_lock_wait_return.space_min_seeders_return.space_persistence_policy_return.space_persistence_type_return.space_phase_count_return.space_phase_interval_return.space_query_limit_return;org.antlr.runtime.ParserRuleReturnScope;[];[space_query_limit];[])
MoveField(com.tibco.as.sql.grammar.ASSQLParser.alias_return.column_name_return.column_value_return.key_type_return.rterm_list_return.rterm_identifier_return.rterm_return.select_column_return.select_quantifier_return.set_clause_return;com.gtt.pets.web.exception.ProjectException;[cname];[];[])
