ExtractClass(de.bwaldvogel.mongo.wire.message.MongoDelete;Class_1;[selector];[isSingleRemove];[])
PushDownField(de.bwaldvogel.mongo.backend.Cursor;de.bwaldvogel.mongo.backend.InMemoryCursor;[id];[];[])
ExtractSubClass(de.bwaldvogel.mongo.backend.ReadOnlyProxy.ReadOnlyException;Class_2;[];[dropDatabase|handleDelete|handleInsert];[])
PullUpField(de.bwaldvogel.mongo.backend.ReadOnlyProxy.ReadOnlyException;de.bwaldvogel.mongo.exception.MongoServerException;[serialVersionUID];[];[])
ExtractSuperClass(de.bwaldvogel.mongo.util.FutureUtils;Class_3;[];[wrap];[])
MoveMethod(de.bwaldvogel.mongo.backend.memory.DocumentIterable.AbstractDocumentIterator.DocumentIterator;de.bwaldvogel.mongo.backend.postgresql.index.Index;[];[getNext];[])
IncreaseMethodSecurity(de.bwaldvogel.mongo.backend.AbstractMongoCollectionTest.TestCollection;;[];[updateDataSize];[])
ExtractSuperClass(de.bwaldvogel.mongo.oplog.OplogClock;Class_4;[atomicIncrement];[instant];[])
ExtractSuperClass(de.bwaldvogel.mongo.backend.Projection.Type;Class_5;[];[projectSlice];[])
MoveMethod(de.bwaldvogel.mongo.backend.memory.H2OnDiskBackendSpringDataTest.TemporaryFileH2Backend;io.netty.handler.codec.LengthFieldBasedFrameDecoder;[];[createTempFile];[])
MoveMethod(de.bwaldvogel.mongo.backend.memory.DocumentIterable.AbstractDocumentIterator.DocumentIterator;java.time.Clock;[];[getNext];[])
ExtractSubClass(de.bwaldvogel.mongo.wire.MongoExceptionHandlerTest.MockChannelId;Class_6;[id];[asShortText];[])
DecreaseFieldSecurity(de.bwaldvogel.mongo.backend.memory.index.MemoryUniqueIndex;;[index];[];[])
IncreaseMethodSecurity(artofillusion.math.FastRandom;;[];[next];[])
PullUpField(com.clearspring.analytics.stream.membership.DataOutputBuffer.Buffer;java.io.ByteArrayOutputStream;[buffer];[];[])
MoveField(de.bwaldvogel.mongo.wire.MongoDatabaseHandler;java.lang.Throwable;[log];[];[])
ExtractSubClass(de.bwaldvogel.mongo.oplog.OplogCursor;Class_7;[];[];[])
DecreaseFieldSecurity(de.bwaldvogel.mongo.bson.Document;;[serialVersionUID];[];[])
PullUpField(de.bwaldvogel.mongo.backend.postgresql.index.PostgresUniqueIndex;de.bwaldvogel.mongo.backend.postgresql.index.Index;[collectionName];[];[])
ExtractSuperClass(de.bwaldvogel.mongo.wire.message.MessageHeader;Class_8;[totalLength];[toString];[])
MoveMethod(de.bwaldvogel.AbstractReadOnlyProxyTest;Utils.KeyValPair;[];[testInsert];[])
DecreaseFieldSecurity(de.bwaldvogel.mongo.backend.memory.DocumentIterable.AbstractDocumentIterator.DocumentIterator;;[clock];[];[])
MoveMethod(de.bwaldvogel.mongo.backend.memory.MemoryBackendSpringDataTest.TestConfig;artofillusion.math.FastRandom;[];[backend];[])
MoveMethod(de.bwaldvogel.mongo.backend.memory.H2BackendSpringDataTest.TestConfig;default.SimpleTest;[];[backend];[])
ExtractSuperClass(de.bwaldvogel.mongo.backend.postgresql.index.PostgresUniqueIndexTest;Class_9;[];[testCreateSelectStatement];[])
ExtractClass(de.bwaldvogel.mongo.backend.Projection.Type;Class_10;[];[fromValue];[])
MoveMethod(de.bwaldvogel.mongo.backend.StreamUtils;de.bwaldvogel.mongo.backend.Projection.Type;[];[toLinkedHashSet];[])
PushDownMethod(de.bwaldvogel.mongo.backend.AbstractAggregationTest;de.bwaldvogel.mongo.RealMongoAggregationTest;[];[testAggregateWithGroupByKey];[])
IncreaseFieldSecurity(de.bwaldvogel.mongo.backend.memory.DocumentIterable.AbstractDocumentIterator;;[pos];[];[])
MoveField(de.bwaldvogel.mongo.backend.postgresql.PostgresqlBackendTest;de.bwaldvogel.mongo.backend.postgresql.index.PostgresUniqueIndex;[dataSource];[];[])
ExtractClass(com.clearspring.analytics.stream.membership.DataOutputBuffer.Buffer;Class_11;[];[getData|reset];[])
EncapsulateField(de.bwaldvogel.mongo.backend.memory.DocumentIterable.AbstractDocumentIterator;;[documents];[];[])
ExtractSubClass(default.SimpleTest;Class_12;[collection];[tearDown];[])
PullUpMethod(de.bwaldvogel.mongo.backend.postgresql.PostgresqlBackendTest;de.bwaldvogel.mongo.backend.AbstractBackendTest;[];[testGetKeyValues_multiKey_document_nested_objects];[])
PushDownField(de.bwaldvogel.mongo.wire.message.ClientRequest;de.bwaldvogel.mongo.wire.message.MongoQuery;[channel];[];[])
ExtractSubClass(de.bwaldvogel.mongo.backend.Projection.Type;Class_13;[];[projectElemMatch];[])
ExtractSuperClass(de.bwaldvogel.mongo.backend.postgresql.JsonConverter;Class_14;[];[objectMapper];[])
DecreaseFieldSecurity(de.bwaldvogel.mongo.wire.MongoExceptionHandlerTest.MockChannelId;;[serialVersionUID];[];[])
ExtractSubClass(de.bwaldvogel.mongo.entity.TestEntity;Class_15;[value];[setText];[])
IncreaseMethodSecurity(de.bwaldvogel.mongo.bson.MinKey;;[];[getInstance];[])
MoveMethod(de.bwaldvogel.mongo.backend.memory.MemoryBackendSpringDataTest.TestConfig;default.SimpleTest;[];[backend];[])
DecreaseFieldSecurity(de.bwaldvogel.mongo.backend.h2.H2Collection;;[log];[];[])
