ExtractSuperClass(com.amossys.hooker.common.InterceptEvent;Class_1;[data|hookerName|idEvent|instanceID|parameters];[getData|getIdEvent|getInstanceID|getMethodName|getReturns|readDataMap|readReturnsEntry|setData|setHookerName|setInstanceID|setIntrusiveLevel|setMethodName|setPackageName|setParameters|setReturns|writeReturnsEntry];[])
PullUpField(org.apache.commons.fileupload.MultipartStream.ProgressNotifier.MalformedStreamException.IllegalBoundaryException.ItemInputStream;java.io.InputStream;[closed];[];[])
IncreaseMethodSecurity(com.amossys.hooker.ApkInstrumenterActivity.IncomingHandler;;[];[onServiceDisconnected];[])
IncreaseFieldSecurity(java.io.InputStream;;[closed];[];[])
ExtractSubClass(com.livrexpress.barcode.qrcode.detector.FinderPattern;Class_2;[count];[getCount|getEstimatedModuleSize];[])
PullUpMethod(com.amossys.hooker.ApkInstrumenterActivity.IncomingHandler;android.os.Handler;[];[askForConfiguration];[])
ExtractClass(com.amossys.hooker.reporting.FileEventReporter;Class_3;[currentFileOutputStream];[];[])
IncreaseFieldSecurity(facebook.ActivityWorkerProxy;;[accessTokenTracker];[];[])
ExtractSubClass(com.amossys.hooker.service.InstrumentationService.IncomingHandler;Class_4;[];[isMonitoring|onStartCommand];[])
PushDownMethod(android.os.Handler;com.amossys.hooker.service.InstrumentationService.IncomingHandler;[];[askForConfiguration];[])
MoveMethod(org.json.JSONArray;com.amossys.hooker.common.InterceptEvent;[];[write];[])
MoveMethod(org.apache.commons.fileupload.MultipartStream.ProgressNotifier.MalformedStreamException.IllegalBoundaryException.ItemInputStream;com.google.zxing.ResultPoint;[];[skip];[])
PullUpMethod(org.apache.commons.fileupload.MultipartStream.ProgressNotifier.MalformedStreamException.IllegalBoundaryException.ItemInputStream;java.io.InputStream;[];[available];[])
ExtractSubClass(com.amossys.hooker.common.INIParser;Class_6;[];[getKeys];[])
DecreaseFieldSecurity(org.json.JSONTokener;;[eof];[];[])
PullUpField(com.amossys.hooker.ApkInstrumenterActivity.IncomingHandler;android.os.Handler;[mConnection];[];[])
IncreaseMethodSecurity(com.amossys.hooker.ApkInstrumenterActivity.IncomingHandler;;[];[handleMessage];[])
ExtractClass(Class_3;Class_7;[];[];[])
ExtractSubClass(com.amossys.hooker.ApkInstrumenterActivity.IncomingHandler;Class_8;[];[onCreate|onCreateOptionsMenu];[])
PullUpField(org.apache.commons.fileupload.MultipartStream.ProgressNotifier.MalformedStreamException.IllegalBoundaryException.ItemInputStream;java.io.InputStream;[pos];[];[])
ExtractSuperClass(com.amossys.hooker.common.INIParser;Class_9;[];[getSections];[])
MoveMethod(java.io.InputStream;com.livrexpress.barcode.PlanarYUVLuminanceSource;[];[available];[])
PushDownField(java.io.InputStream;org.apache.commons.fileupload.MultipartStream.ProgressNotifier.MalformedStreamException.IllegalBoundaryException.ItemInputStream;[closed];[];[])
MoveField(org.json.JSONArray;com.amossys.hooker.ApkInstrumenterActivity.IncomingHandler;[myArrayList];[];[])
ExtractSuperClass(determinant_calculator_service.RequestManager;Class_10;[totalWorkToDo];[getChangeSign|getFirstRow|subMatrix];[])
PullUpMethod(com.amossys.hooker.ApkInstrumenterActivity.IncomingHandler;android.os.Handler;[];[setMyArrayList];[])
MoveField(facebook.LoginButtonProxy;android.view.View;[TAG];[];[])
EncapsulateField(org.json.XMLTokener;;[entity];[];[])
MoveMethod(facebook.ActivityWorkerProxy;com.google.zxing.LuminanceSource;[];[handleCreationDict];[])
PushDownField(android.os.Handler;com.amossys.hooker.service.InstrumentationService.IncomingHandler;[myArrayList];[];[])
PushDownMethod(java.io.InputStream;org.apache.commons.fileupload.MultipartStream.ProgressNotifier.MalformedStreamException.IllegalBoundaryException.ItemInputStream;[];[available];[])
PullUpField(org.apache.commons.fileupload.MultipartStream.ProgressNotifier.MalformedStreamException.IllegalBoundaryException.ItemInputStream;java.io.InputStream;[pad];[];[])
PullUpMethod(org.json.JSONException;java.lang.RuntimeException;[];[getCause];[])
ExtractSubClass(com.livrexpress.barcode.camera.CameraConfigurationManager;Class_12;[MAX_PREVIEW_PIXELS|cameraResolution|context];[findBestPreviewSizeValue|initializeTorch];[])
PushDownField(android.os.Handler;com.amossys.hooker.service.InstrumentationService.IncomingHandler;[mConnection];[];[])
PullUpField(determinant_calculator_service.MatrixReaderThread;java.lang.Thread;[order];[];[])
PullUpField(com.amossys.hooker.reporting.FileEventReporter;com.amossys.hooker.reporting.AbstractReporter;[OUTPUT_PATH];[];[])
ExtractSubClass(com.amossys.hooker.reporting.NetworkEventSender;Class_13;[esIndex|nbThread|toSend];[getEsDoctype];[])
ExtractSubClass(determinant_calculator_service.RequestManager;Class_14;[computationEnded];[getRows|setOriginalMatrix|updateCurrentMatrix|updateRowsDone];[])
MoveField(java.io.InputStream;android.os.Handler;[pad];[];[])
ExtractClass(com.amossys.hooker.reporting.FileEventReporter;Class_15;[outputFile];[];[])
ExtractSuperClass(android.os.Handler;Class_16;[];[getPad];[])
PullUpField(com.livrexpress.barcode.qrcode.detector.FinderPattern;com.google.zxing.ResultPoint;[estimatedModuleSize];[];[])
PullUpMethod(determinant_calculator_service.MatrixReaderThread;java.lang.Thread;[];[run];[])
PullUpMethod(com.livrexpress.barcode.ViewfinderView;android.view.View;[];[drawResultBitmap];[])
IncreaseFieldSecurity(android.view.View;;[resultBitmap];[];[])
IncreaseMethodSecurity(com.amossys.hooker.reporting.NetworkEventSender;;[];[getEsIndex];[])
MoveMethod(com.amossys.hooker.reporting.AbstractReporter;android.view.View;[];[getIdXp];[])
ExtractSuperClass(android.view.View;Class_17;[];[getIdXp];[])
ExtractClass(com.livrexpress.barcode.camera.CameraManager;Class_18;[camera];[requestAutoFocus|requestPreviewFrame|stopPreview];[])
PullUpMethod(com.livrexpress.barcode.qrcode.detector.AlignmentPattern;com.google.zxing.ResultPoint;[];[combineEstimate];[])
ExtractSuperClass(Class_8;Class_19;[];[];[])
EncapsulateField(facebook.TiFacebookModule;;[LOGIN_BEHAVIOR_BROWSER];[];[])
PullUpField(org.apache.commons.fileupload.MultipartStream.ProgressNotifier.MalformedStreamException.IllegalBoundaryException.ItemInputStream;java.io.InputStream;[total];[];[])
ExtractClass(determinant_calculator_service.RequestManager;Class_21;[matrixLength];[updateLastTempDeterminant];[])
ExtractSubClass(facebook.TiFacebookModule;Class_22;[EVENT_PARAM_CONTENT|PROPERTY_CODE];[getAccessTokenExpired|getFacebookModule|getLoggedIn|getLoginBehavior|getUid|handleError|initialize|isAccessTokenRefreshCalled|logCustomEvent|logPushNotificationOpen|makeMeRequest|onCancel|onError|presentPhotoShareDialog|setLOGIN_BEHAVIOR_BROWSER|setLoginManagerLoginBehavior|setPushNotificationsDeviceToken];[])
ExtractSubClass(facebook.LoginButtonProxy;Class_23;[];[handleCreationDict];[])
PullUpMethod(org.json.XMLTokener;org.json.JSONTokener;[];[nextContent];[])
MoveField(com.livrexpress.barcode.camera.PreviewCallback;android.app.Activity;[TAG];[];[])
