ExtractSubClass(uk.codingbadgers.SurvivalPlus.message.ClickEvent;Class_1;[value];[hashCode|toString];[])
DecreaseFieldSecurity(org.json.me.StringWriter;;[buf];[];[])
ExtractSuperClass(uk.codingbadgers.customflags.WGCustomFlagsListener;Class_2;[];[onServerCommand|onWorldInit|onWorldSave|onWorldUnload];[])
ExtractClass(uk.codingbadgers.skillz.skill.BlockData;Class_3;[m_minLevel];[getRegenTime];[])
MoveField(com.philemonworks.selfdiagnose.test.xtra.MockAttributes;com.mcdr.corruption.util.CorLogger.LogLevel;[map];[];[])
IncreaseMethodSecurity(zystudio.cases.multithread.CaseReentrantLock.Service.Thread1;;[];[run];[])
PullUpMethod(org.openhab.habdroid.util.MjpegInputStream;java.io.DataInputStream;[];[getEndOfSeqeunce];[])
PullUpMethod(myctapp.Distribution;java.util.Random;[];[nextPoisson];[])
IncreaseMethodSecurity(org.yaml.snakeyaml.resolver.Resolver;;[];[addImplicitResolver];[])
IncreaseFieldSecurity(com.mcdr.corruption.util.PermissionsSystemType;;[name];[];[])
IncreaseFieldSecurity(uk.codingbadgers.SurvivalPlus.player.FundamentalPlayer;;[m_playerData];[];[])
PullUpField(net.egork.chelper.tester.PipedOutputStream;java.io.OutputStream;[sink];[];[])
IncreaseMethodSecurity(org.eclipse.californium.proxy2.MappingProperties;;[];[getHttpMethod];[])
ExtractSuperClass(com.android.volley.Cache.Entry;Class_4;[data|etag|responseHeaders];[isExpired|refreshNeeded];[])
PullUpField(uk.codingbadgers.SurvivalPlus.commands.ModuleCommandHelpTopic;org.bukkit.help.HelpTopic;[m_command];[];[])
PushDownField(uk.codingbadgers.SurvivalPlus.commands.ModuleCommand;uk.codingbadgers.skillz.commands.SkillCommand;[m_aliases];[];[])
ExtractSuperClass(uk.codingbadgers.SurvivalPlus.module.ModuleInfo;Class_5;[description];[compareTo];[])
DecreaseFieldSecurity(org.yaml.snakeyaml.serializer.Serializer;;[useTags];[];[])
ExtractSubClass(org.yaml.snakeyaml.DumperOptions.ScalarStyle;Class_6;[];[getChar];[])
ExtractSubClass(uk.codingbadgers.SurvivalPlus.player.FundamentalPlayerArray;Class_7;[];[getPlayer];[])
PullUpField(net.egork.chelper.tester.StringInputStream;java.io.InputStream;[index];[];[])
