ExtractSubClass(il.co.topq.integframework.junit.runner.ExecutionStatusCollector;Class_1;[executionTime|numberOfFailures];[testFailure|testStarted];[])
MoveField(il.co.topq.integframework.webdriver.annotations.Annotations;il.co.topq.integframework.reporting.org.testng.Reporter;[field];[];[])
DecreaseFieldSecurity(il.co.topq.integframework.ivalidator.ImageValidator;;[comparator];[];[])
MoveField(il.co.topq.integframework.cli.conn.CliConnectionImpl.EnumConnectionType;org.springframework.test.context.testng.AbstractTestNGSpringContextTests;[ignoreBackSpace];[];[])
ExtractSuperClass(il.co.topq.integframework.webdriver.utils.WebDriverUtils;Class_2;[];[switchToWindow];[])
ExtractSuperClass(il.co.topq.integframework.cli.process.CliCommandExecution;Class_3;[assrtions];[getResult];[])
MoveField(il.co.topq.integframework.support.TimeoutException;il.co.topq.integframework.junit.report.ReportersManager;[serialVersionUID];[];[])
PullUpMethod(codebase.junit.EnhancedTestCase.RefObject;java.lang.Object;[];[toString];[])
ExtractSuperClass(il.co.topq.integframework.cli.terminal.SSH.InteractiveLogic;Class_4;[];[getHostname|setConn|setHostname];[])
ExtractSuperClass(il.co.topq.integframework.junit.configuration.FrameworkOptions;Class_5;[defaultValue];[getDefaultValue];[])
ExtractSuperClass(il.co.topq.integframework.assertion.CollectionAssertion.PairOfMatches;Class_6;[exitIfSizeDoesNotMatch|simpleComparator];[addMatch|andKeepMatchesForFurtherAnalysis|compare|compareWith|getTitle];[])
DecreaseFieldSecurity(com.facebook.android.DialogError;;[mFailingUrl];[];[])
MoveField(codebase.junit.EnhancedTestCase.RefObject;il.co.topq.integframework.bdd.BddExecutor;[actualRefCount];[];[])
IncreaseMethodSecurity(il.co.topq.integframework.cli.conn.RootLinuxCliConnection;;[];[setSuUser];[])
MoveField(il.co.topq.integframework.junit.runner.ExecutionStatusCollector;il.co.topq.integframework.junit.utils.BeanUtils;[numberOfTests];[];[])
MoveField(il.co.topq.integframework.junit.configuration.IntegrationProperites;il.co.topq.integframework.cli.conn.CliConnectionImpl.EnumConnectionType;[properties];[];[])
DecreaseFieldSecurity(il.co.topq.integframework.reporting.org.testng.Reporter;;[field];[];[])
IncreaseFieldSecurity(il.co.topq.integframework.webdriver.frames.ByFramePath;;[lazyMode];[];[])
DecreaseFieldSecurity(il.co.topq.integframework.webdriver.windows.ByWindowTitle;;[windowTitle];[];[])
MoveMethod(com.facebook.android.FacebookError;il.co.topq.integframework.ivalidator.repository.FileRepositoryImpl;[];[getErrorType];[])
DecreaseFieldSecurity(il.co.topq.integframework.junit.runner.RunListenerManager;;[listeners];[];[])
MoveField(il.co.topq.integframework.utils.StringUtils;java.io.InputStream;[__];[];[])
ExtractClass(il.co.topq.integframework.webdriver.AbstractAjaxPageObjectImpl.WebDriverExpectedCondition;Class_7;[pollingMillis];[assertInModule|resetPollingMillis|waitUntil|waitUntil|waitWhile];[])
MoveMethod(il.co.topq.integframework.assertion.CombinedComparator;il.co.topq.integframework.webdriver.windows.ByWindowTitle;[];[compare];[])
ExtractClass(il.co.topq.integframework.reporting.Reporter.Style.Color;Class_8;[];[copyFileToReporterFolder|log|log|log|log1|log2|logFile|logImage|startLogToggle|startLogToggle|stopLogToggle|toHtml];[])
DecreaseFieldSecurity(il.co.topq.integframework.reporting.Reporter.Style.Color;;[class_8];[];[])
ExtractSubClass(il.co.topq.integframework.bdd.BddExecutor;Class_9;[];[reportStepDescription];[])
ExtractSuperClass(il.co.topq.integframework.hdfs.HDFSSystemModule;Class_10;[wait];[getWait|validateThat];[])
PullUpField(il.co.topq.integframework.ivalidator.repository.FileRepositoryException;java.lang.Exception;[serialVersionUID];[];[])
DecreaseFieldSecurity(il.co.topq.integframework.webdriver.eventlistener.WebDriverReportEventHandler;;[suffix];[];[])
DecreaseFieldSecurity(il.co.topq.integframework.ivalidator.repository.FileRepositoryImpl;;[repositoryPath];[];[])
ExtractSubClass(il.co.topq.integframework.webdriver.frames.FramesAjaxElementLocator;Class_11;[by];[findElement];[])
MoveField(il.co.topq.integframework.webdriver.frames.FramesAjaxElementLocatorFactory;il.co.topq.integframework.support.TimeoutException;[driver];[];[])
DecreaseMethodSecurity(codebase.junit.EnhancedTestCase.RefObject;;[];[performArrayComparison];[])
PullUpField(codebase.junit.EnhancedTestCase.RefObject;java.lang.Object;[bddexecutor];[];[])
MoveField(il.co.topq.integframework.webdriver.AbstractAjaxPageObjectImpl.WebDriverExpectedCondition;java.io.PrintStream;[class_7];[];[])
