ExtractSuperClass(org.osmdroid.views.overlay.OverlayItem.HotspotPlace;Class_15;[mUid];[getPoint|getWidth|setState];[])
PullUpMethod(org.osmdroid.views.MapController.AnimationType.AbstractAnimationRunner.LinearAnimationRunner.ExponentialDeceleratingAnimationRunner.CosinusalBasedAnimationRunner;org.osmdroid.views.AbstractAnimationRunner;[];[onRunAnimation];[])
DecreaseFieldSecurity(fixio.fixprotocol.session.FixSession.Builder;;[senderSubID];[];[])
EncapsulateField(fixio.netty.pipeline.client.FixSessionSettingsProvider.Params;;[SSL];[];[])
ExtractSubClass(org.osmdroid.tileprovider.tilesource.bing.BingMapTileSource;Class_17;[BING_KEY|mLocale];[getBingKey|setStyle];[])
IncreaseMethodSecurity(org.osmdroid.tileprovider.tilesource.bing.imagerymetadata.ImageryMetaDataResource;;[];[getSubDomain];[])
MoveField(org.osmdroid.contributor.util.RecordedGeoPoint;net.wigle.wigleandroid.ZoomButtonsController;[serialVersionUID];[];[])
ExtractSubClass(fixio.netty.pipeline.client.FixSessionSettingsProvider.Params;Class_18;[];[getSSL];[])
ExtractSubClass(Class_17;Class_19;[mImageryData];[];[])
IncreaseMethodSecurity(org.osmdroid.tileprovider.modules.MapTileFileStorageProviderBase.MyBroadcastReceiver;;[];[onReceive];[])
MoveMethod(fixio.netty.pipeline.server.AcceptAllAuthenticator;org.osmdroid.tileprovider.MapTileProviderBase.ScaleTileLooper.ZoomInTileLooper;[];[authenticate];[])
MoveMethod(org.metalev.multitouch.controller.MultiTouchController.PointInfo;org.osmdroid.tileprovider.modules.MapTileFileStorageProviderBase.MyBroadcastReceiver;[];[getPressures];[])
ExtractSubClass(fixio.examples.priceclient.PriceClient;Class_20;[client];[connect];[])
MoveField(fixio.events.LogonEventTest;fixio.validator.BusinessRejectException;[session2];[];[])
MoveField(fixio.netty.pipeline.client.FixSessionSettingsProvider.Params;fixio.netty.pipeline.MessageToMessageDecoder;[SSL];[];[])
PullUpMethod(org.osmdroid.views.overlay.MyLocationOverlay;org.osmdroid.views.overlay.Overlay;[];[setLocationUpdateMinTime];[])
ExtractClass(org.osmdroid.views.overlay.SimpleLocationOverlay;Class_23;[mLocation];[];[])
DecreaseFieldSecurity(fixio.FixServerTest;;[fixApplication];[];[])
IncreaseMethodSecurity(org.osmdroid.util.BoundingBoxE6;;[];[newArray];[])
PushDownMethod(org.osmdroid.views.overlay.SafeDrawOverlay;org.osmdroid.samplefragments.SampleLimitedScrollArea.ShadeAreaOverlay;[];[setUseSafeCanvas];[])
PushDownField(fixio.handlers.FixApplicationAdapter;fixio.FixConversationIT.ServerLogicHandler.ClientApp;[LOGGER];[];[])
DecreaseFieldSecurity(org.osmdroid.views.MapController.AnimationType.AbstractAnimationRunner;;[mPanTotalLongitudeE6];[];[])
MoveMethod(org.osmdroid.views.MapController.AnimationType.AbstractAnimationRunner;android.os.Handler;[];[run];[])
PushDownMethod(android.os.Handler;org.osmdroid.tileprovider.util.SimpleInvalidationHandler;[];[run];[])
MoveMethod(org.osmdroid.contributor.util.RecordedGeoPoint;Class_20;[];[getNumSatellites];[])
MoveField(org.osmdroid.util.BoundingBoxE6;fixio.netty.pipeline.server.ServerSessionHandlerTest;[mLatNorthE6];[];[])
PushDownMethod(org.osmdroid.tileprovider.tilesource.bing.BingMapTileSource;Class_17;[];[retrieveBingKey];[])
ExtractClass(fixio.fixprotocol.session.FixSession;Class_30;[defaultApplVerID|targetCompID];[getDefaultApplExtID|getId|getNextOutgoingMessageSeqNum|getSenderLocationID|getSenderSubID|newBuilder|setNextOutgoingMessageSeqNum];[])
DecreaseFieldSecurity(org.osmdroid.events.ScrollEvent;;[source];[];[])
IncreaseMethodSecurity(org.osmdroid.views.overlay.OverlayItem.HotspotPlace;;[];[getDrawable];[])
MoveMethod(org.osmdroid.tileprovider.tilesource.bing.BingMapTileSource;org.osmdroid.views.MapView.Projection;[];[getStyle];[])
ExtractClass(org.osmdroid.util.GEMFFile.GEMFRange.GEMFInputStream;Class_34;[remainingBytes];[close];[])
ExtractSuperClass(org.osmdroid.util.GeoPoint;Class_38;[CREATOR];[fromDoubleString|getAltitude|getLongitudeE6|setAltitude|setLatitudeE6|setLongitudeE6|toDoubleString|writeToParcel];[])
MoveMethod(fixio.examples.quickfix.QuickFixStreamingApp;fixio.examples.quickfix.QuickFixStreamingApp.StreamingWorker;[];[toApp];[])
ExtractSubClass(fixio.examples.quickfix.QuickFixStreamingApp;Class_40;[LOGGER|subscriptions];[fromAdmin|onLogon|stopStreaming];[])
PushDownMethod(org.osmdroid.views.AbstractAnimationRunner;org.osmdroid.views.MapController.AnimationType.AbstractAnimationRunner.LinearAnimationRunner.ExponentialDeceleratingAnimationRunner;[];[onRunAnimation];[])
PullUpMethod(org.osmdroid.samplefragments.SampleLimitedScrollArea.ShadeAreaOverlay;org.osmdroid.views.overlay.SafeDrawOverlay;[];[setUseSafeCanvas];[])
PullUpField(fixio.validator.BusinessRejectException;java.lang.Exception;[refMsgType];[];[])
ExtractSubClass(fixio.fixprotocol.session.FixSession.Builder;Class_41;[beginString|dateTimeFormatter|senderLocationID|senderSubID|targetCompID];[build|targetCompID|targetLocationID];[])
DecreaseMethodSecurity(org.osmdroid.samplefragments.SampleLimitedScrollArea.ShadeAreaOverlay;;[];[drawSafe];[])
ExtractSuperClass(fixio.fixprotocol.session.FixSessionTest;Class_42;[senderLocationID|session];[testGetSessionId];[])
ExtractSubClass(org.osmdroid.tileprovider.modules.MapTileFileStorageProviderBase.MyBroadcastReceiver;Class_44;[];[onReceive];[])
ExtractSuperClass(net.wigle.wigleandroid.ZoomButtonsController;Class_45;[LISTENER_CLASS|logger|onTouch|setOnZoomListener];[setSerialVersionUID];[])
MoveMethod(fixio.fixprotocol.session.SessionId;org.osmdroid.tileprovider.modules.MapTileFileStorageProviderBase.MyBroadcastReceiver;[];[equals];[])
DecreaseMethodSecurity(org.osmdroid.tileprovider.tilesource.bing.imagerymetadata.ImageryMetaDataResource;;[];[getSubDomain];[])
MoveField(org.osmdroid.events.ZoomEvent;java.lang.Exception;[source];[];[])
MoveMethod(net.wigle.wigleandroid.ZoomButtonsController;org.osmdroid.tileprovider.MapTileProviderBase.ScaleTileLooper.ZoomInTileLooper;[];[getSerialVersionUID];[])
PullUpMethod(Class_17;org.osmdroid.tileprovider.tilesource.bing.BingMapTileSource;[];[getBingKey];[])
ExtractSuperClass(org.osmdroid.events.ZoomEvent;Class_47;[exception];[toString];[])
MoveField(org.osmdroid.views.MapController.AnimationType.AbstractAnimationRunner.LinearAnimationRunner.ExponentialDeceleratingAnimationRunner.CosinusalBasedAnimationRunner;fixio.netty.pipeline.client.FixSessionSettingsProviderImpl.Builder;[mStepIncrement];[];[])
MoveMethod(org.osmdroid.views.MapController;org.osmdroid.tileprovider.MapTileProviderBase.ScaleTileLooper.ZoomInTileLooper.ZoomOutTileLooper;[];[animateTo];[])
