ExtractClass(org.carion.s3ftp.FtpDirectory;Class_1;[_name];[renameChild|setDirectory|upload];[])
ExtractSuperClass(edu.msu.cme.rdp.readseq.utils.kmermatch.NuclSeqMatch.WordSequence;Class_2;[bitset];[main];[])
PullUpMethod(drexel.edu.blackjack.util.LengthLimitedBufferedReader;java.io.BufferedReader;[];[readLine];[])
ExtractSuperClass(edu.msu.cme.rdp.readseq.utils.ProteinUtils.AminoAcid;Class_3;[initiator|translationTableMap];[isInitiator];[])
PullUpField(com.google.authenticator.blackberry.BufferedReader;java.io.Reader;[marklimit];[];[])
MoveMethod(com.android.volley.toolbox.ByteArrayPool;java.nio.charset.CharsetEncoder;[];[returnBuf];[])
MoveMethod(edu.msu.cme.rdp.readseq.utils.ProteinUtils.AminoAcid.ProteinUtilsHolder.TranslateResult;com.github.kevinsawicki.http.RequestOutputStream;[];[translateToProtein];[])
PullUpField(org.badiff.imp.FileDiff.FileOpQueue;org.badiff.q.OpQueue;[self];[];[])
ExtractSuperClass(edu.msu.cme.rdp.readseq.utils.ProteinUtils.AminoAcid.ProteinUtilsHolder.TranslateResult;Class_4;[errors];[allTranslate|getInstance|getTranslScore];[])
DecreaseFieldSecurity(com.android.volley.toolbox.ByteArrayPool;;[mSizeLimit];[];[])
ExtractClass(ch.powerunit.rules.impl.NullOutputStream;Class_5;[];[write];[])
IncreaseMethodSecurity(org.jboss.jdeparser.util.Surrogate.Parser;;[];[error];[])
MoveField(com.secondhand.model.entity.BlackHole;com.redhat.lightblue.rest.audit.LightblueAuditServletFilterTest.TeeInMemoryStringPrintStream;[INCREASE_SIZE];[];[])
ExtractSubClass(edu.msu.cme.rdp.readseq.utils.ProteinUtils.AminoAcid;Class_6;[aminoAcid|tableIdPattern];[getAminoAcid];[])
IncreaseMethodSecurity(org.jboss.jdeparser.util.Surrogate.Parser;;[];[error];[])
ExtractSubClass(edu.msu.cme.rdp.readseq.writers.FastaWriter;Class_7;[];[close|writeRawQual];[])
IncreaseMethodSecurity(com.android.volley.toolbox.ByteArrayPool;;[];[getBuf];[])
PullUpMethod(com.secondhand.model.powerup.RandomPowerUpTest.MockRandom;java.util.Random;[];[nextInt];[])
IncreaseMethodSecurity(org.carion.s3.http.HttpServer.HttpHandler;;[];[run];[])
PullUpField(edu.msu.cme.rdp.readseq.readers.core.SeqReaderCore.EmptyCore;edu.msu.cme.rdp.readseq.readers.core.SeqReaderCore;[rawRAFile];[];[])
PullUpField(org.carion.s3.admin.htmlPages.BucketsPage;org.carion.s3.admin.htmlPages.Page;[_errorMessage];[];[])
MoveField(org.jboss.jdeparser.util.SingleByteEncoder;com.secondhand.model.entity.CircleEntity;[shift];[];[])
MoveField(com.github.kevinsawicki.http.HttpRequest.ConnectionFactory.Base64.HttpRequestException.Operation.CloseOperation.FlushOperation.RequestOutputStream;MidiLibs.MidiDataInputStream;[httpProxyHost];[];[])
DecreaseFieldSecurity(guru.nidi.ramltester.core.NamedReader;;[source];[];[])
MoveMethod(edu.msu.cme.rdp.readseq.utils.kmermatch.KmerMatchCore.ResultComparator;edu.msu.cme.rdp.readseq.stat.StdevCal;[];[compare];[])
ExtractSubClass(edu.msu.cme.rdp.readseq.readers.QSeqReader;Class_8;[qualReader|seqids];[close];[])
MoveField(com.android.volley.toolbox.ByteArrayPool;com.secondhand.model.resource.PlanetType;[mCurrentSize];[];[])
PushDownMethod(java.util.Random;com.secondhand.model.powerup.RandomPowerUpTest.MockRandom;[];[nextInt];[])
PullUpField(edu.msu.cme.rdp.readseq.sequences.GenbankSequence;edu.msu.cme.rdp.readseq.readers.Sequence;[organism];[];[])
PullUpMethod(org.carion.s3.util.ContentLengthInputStream;java.io.InputStream;[];[close];[])
MoveField(ch.powerunit.rules.impl.NullOutputStream;edu.msu.cme.rdp.readseq.utils.ProtTranslTest;[class_5];[];[])
PullUpField(com.google.common.collect.CustomConcurrentHashMap.Builder.Strategy.Internals.ComputingStrategy.Impl.InternalsImpl.Segment;java.util.concurrent.locks.ReentrantLock;[threshold];[];[])
PushDownField(edu.msu.cme.rdp.readseq.readers.core.SeqReaderCore;edu.msu.cme.rdp.readseq.readers.core.SeqReaderCore.EmptyCore;[rawRAFile];[];[])
IncreaseMethodSecurity(edu.msu.cme.rdp.readseq.utils.ReferenceSeqHelper.ReferenceSeqHelperHolder;;[];[getRefSeq];[])
PullUpField(org.badiff.imp.StreamQueueable.StreamOpQueue;org.badiff.q.OpQueue;[closed];[];[])
ExtractSubClass(org.badiff.q.BufferChunkingOpQueue;Class_9;[target];[];[])
ExtractClass(MidiLibs.MidiDataInputStream;Class_10;[];[getHttpProxyHost];[])
ExtractSubClass(edu.msu.cme.rdp.readseq.utils.ReferenceSeqHelper.ReferenceSeqHelperHolder;Class_11;[];[getInstance];[])
PullUpMethod(com.google.common.collect.CustomConcurrentHashMap.Builder.Strategy.Internals.ComputingStrategy.Impl.InternalsImpl.Segment;java.util.concurrent.locks.ReentrantLock;[];[clear];[])
DecreaseFieldSecurity(org.jboss.jdeparser.util.MS1252Encoder;;[index2];[];[])
PushDownMethod(org.badiff.q.OpQueue;org.badiff.alg.InertialGraph.GraphOpQueue;[];[remove];[])
IncreaseMethodSecurity(org.badiff.alg.AdjustableInertialGraph.GraphOpQueue;;[];[pull];[])
EncapsulateField(edu.msu.cme.rdp.readseq.utils.gbregion.RegionParser.IdentifierOrRange;;[identifier];[];[])
DecreaseFieldSecurity(com.google.authenticator.blackberry.BufferedReader;;[pos];[];[])
PushDownField(org.badiff.q.OpQueue;org.badiff.alg.AdjustableInertialGraph.GraphOpQueue;[iterNext];[];[])
PullUpField(de.qabel.box.storage.DeleteOnCloseFileInputStream;java.io.FileInputStream;[logger];[];[])
ExtractClass(edu.msu.cme.rdp.readseq.utils.gbregion.ComplementRegion;Class_12;[];[toString];[])
IncreaseMethodSecurity(java.util.concurrent.locks.ReentrantLock;;[];[clear];[])
MoveField(org.carion.s3.util.LogWriter;edu.msu.cme.rdp.readseq.utils.ReferenceSeqHelper;[_outFile];[];[])
IncreaseMethodSecurity(com.secondhand.model.physics.Vector2;;[];[lenManhattan];[])
PushDownField(com.secondhand.model.powerup.PowerUp;com.secondhand.model.powerup.MirroredMovement;[HEIGHT];[];[])
ExtractSuperClass(org.carion.s3.impl.S3RepositoryImpl;Class_13;[_s3DavDirectory];[deleteObject|getS3Cache];[])
ExtractSuperClass(edu.msu.cme.rdp.readseq.utils.gbregion.RegionParser.IdentifierOrRange.GBRange;Class_14;[rangeStart];[main];[])
ExtractSuperClass(edu.msu.cme.rdp.readseq.readers.core.SFFCore.CommonHeader;Class_15;[flowgramFormat|version];[getIndexOffset];[])
IncreaseFieldSecurity(Class_15;;[flowgramFormat];[];[])
MoveMethod(org.carion.s3.impl.S3UploadImpl.UploadTask;com.github.pnowy.various.patterns.behavioral.strategy.mypatter.King;[];[abort];[])
DecreaseFieldSecurity(Class_13;;[_s3DavDirectory];[];[])
IncreaseMethodSecurity(org.carion.s3dav.webdav.HandlerPropfind.PropfindHandler;;[];[processStartElement];[])
ExtractSubClass(com.ebay.jetstream.epl.JetstreamSideEventIdGenerator.EventIdInfo.Random.AtomicByte;Class_16;[];[doubleValue|get];[])
ExtractSubClass(com.redhat.lightblue.rest.audit.LightblueAuditServletFilterTest.TeeInMemoryStringPrintStream;Class_17;[originalPrintStream];[setINCREASE_SIZE];[])
PushDownMethod(org.carion.s3.admin.htmlPages.Page;org.carion.s3.admin.htmlPages.CreditsPage;[];[setContext];[])
DecreaseFieldSecurity(org.carion.s3.http.HttpServer.HttpHandler;;[_stream];[];[])
ExtractSuperClass(edu.msu.cme.rdp.readseq.stat.StdevCal.Std;Class_18;[totalCount];[calMedian|calStd|getMean];[])
PushDownField(java.io.InputStream;org.carion.s3.util.NullInputStream;[_closed];[];[])
EncapsulateField(com.secondhand.model.powerup.MirroredMovement;;[HEIGHT];[];[])
ExtractClass(Class_2;Class_19;[bitset];[findTopKMatch];[])
IncreaseMethodSecurity(Class_7;;[];[close];[])
PushDownField(org.carion.s3.operations.ObjectS3Operation;org.carion.s3.operations.ObjectDELETE;[_method];[];[])
PushDownField(org.badiff.q.OpQueue;org.badiff.imp.StreamQueueable.StreamOpQueue;[closed];[];[])
MoveField(com.owncloud.android.lib.common.http.TLSSocketFactory;org.carion.s3.operations.ServiceGET.Handler;[mInternalSSLSocketFactory];[];[])
MoveField(Class_3;org.jcp.xmlns.xml.ns.javaee.MessageDestinationTypeType;[initiator];[];[])
IncreaseMethodSecurity(Class_17;;[];[setINCREASE_SIZE];[])
PushDownMethod(org.badiff.q.OpQueue;org.badiff.alg.InertialGraph.GraphOpQueue;[];[drainTo];[])
IncreaseMethodSecurity(com.github.kevinsawicki.http.RequestOutputStream;;[];[translateToProtein];[])
PullUpField(Class_17;com.redhat.lightblue.rest.audit.LightblueAuditServletFilterTest.TeeInMemoryStringPrintStream;[originalPrintStream];[];[])
ExtractClass(edu.msu.cme.rdp.readseq.utils.ProteinUtils.AminoAcid.ProteinUtilsHolder.TranslateResult;Class_20;[];[getAlignedNucSeq];[])
DecreaseFieldSecurity(org.carion.s3.impl.S3RepositoryImpl;;[_credential];[];[])
MoveMethod(edu.msu.cme.rdp.readseq.writers.SFFWriter;org.jboss.jdeparser.util.Surrogate.Parser;[];[close];[])
EncapsulateField(edu.msu.cme.rdp.readseq.utils.kmermatch.KmerMatchCore.ResultComparator.BestMatch;;[revComp];[];[])
