ExtractSubClass(uk.codingbadgers.bnpcstore.bNpcStore;Class_1;[npcStores|stores];[findStoreNPC];[])
ExtractClass(compiler.Frontend.MiniJavaParser.ProgramContext.ClassDeclarationContext.MainClassContext.BlockContext.VarDeclarationContext.VariableContext.TypeContext.TypeBasicContext.TypeArrayContext.TypeBooleanContext.TypeIntContext.TypeClassContext.MethodDeclarationContext.ProcTypeContext.TypeVoidContext.StatementContext.StatementIfContext.StatementWhileContext.StatementAssignContext.StatementAssignArrayContext.StatementPrintContext.StatementPrintlnContext.StatementMethodContext.StatementReturnContext.ExpressionContext.Level1Context.Level2Context;Class_2;[tail];[enterRule|exitRule|getRuleIndex];[])
IncreaseMethodSecurity(net.sourceforge.eclipsejetty.starter.common.AbstractServerAdapter;;[];[getClassPathDescription];[])
IncreaseMethodSecurity(net.sourceforge.eclipsejetty.starter.console.util.Tokenizer;;[];[isWhitespace];[])
IncreaseMethodSecurity(org.camunda.spin.impl.xml.dom.query.DomXPathQuery;;[];[ns];[])
DecreaseMethodSecurity(uk.codingbadgers.bHelpful.commands.AnnouncementCommand.AnnouncementRunnable;;[];[broadcast];[])
ExtractClass(javax.jmdns.impl.DNSCache._EmptyCache;Class_3;[];[equals|size|values];[])
IncreaseFieldSecurity(compiler.Frontend.MiniJavaParser.ProgramContext.ClassDeclarationContext.MainClassContext.BlockContext.VarDeclarationContext.VariableContext.TypeContext.TypeBasicContext.TypeArrayContext.TypeBooleanContext.TypeIntContext.TypeClassContext.MethodDeclarationContext.ProcTypeContext.TypeVoidContext.StatementContext.StatementIfContext.StatementWhileContext.StatementAssignContext.StatementAssignArrayContext.StatementPrintContext.StatementPrintlnContext.StatementMethodContext.StatementReturnContext.ExpressionContext.Level1Context.Level2Context.Level3Context.Level4Context.Level5Context.ExpressionUnaryMinusContext.ExpressionNegationContext.ExpressionNewObjectContext.ExpressionNewArrayContext.ExpressionIdentifierContext.ExpressionArrayAccessContext.ExpressionParenthesesContext.ExpressionConstantTrueContext.ExpressionConstantFalseContext.ExpressionConstantIntegerContext.ExpressionConstantStringContext;;[value];[];[])
EncapsulateField(org.game.knight.ast.AST.Token;;[TEXT];[];[])
ExtractClass(org.chw.xml.XmlParser.RootContext;Class_4;[];[dtd];[])
ExtractSubClass(compiler.Frontend.MiniJavaParser.ProgramContext.ClassDeclarationContext.MainClassContext.BlockContext.VarDeclarationContext.VariableContext.TypeContext.TypeBasicContext;Class_5;[];[exitRule|getRuleIndex|typeBasic|typeBoolean];[])
DecreaseFieldSecurity(org.game.knight.editor.img.ImgEditor.ScaleAction.BackAction;;[type];[];[])
EncapsulateField(compiler.Frontend.MiniJavaParser.ProgramContext.ClassDeclarationContext.MainClassContext.BlockContext.VarDeclarationContext.VariableContext.TypeContext.TypeBasicContext.TypeArrayContext.TypeBooleanContext.TypeIntContext.TypeClassContext.MethodDeclarationContext.ProcTypeContext.TypeVoidContext.StatementContext.StatementIfContext.StatementWhileContext.StatementAssignContext.StatementAssignArrayContext.StatementPrintContext.StatementPrintlnContext.StatementMethodContext.StatementReturnContext.ExpressionContext.Level1Context.Level2Context.Level3Context.Level4Context.Level5Context.ExpressionUnaryMinusContext.ExpressionNegationContext.ExpressionNewObjectContext.ExpressionNewArrayContext.ExpressionIdentifierContext.ExpressionArrayAccessContext.ExpressionParenthesesContext;;[argument];[];[])
MoveField(org.sufficientlysecure.rootcommands.util.RootAccessDeniedException;compiler.Frontend.MiniJavaParser.ProgramContext.ClassDeclarationContext.MainClassContext.BlockContext.VarDeclarationContext.VariableContext.TypeContext.TypeBasicContext.TypeArrayContext.TypeBooleanContext.TypeIntContext.TypeClassContext;[serialVersionUID];[];[])
ExtractClass(uk.thecodingbadgers.benchant.ItemEditCommand.EditColourCommand.EditNameCommand.EditLoreCommand.EditOwnerCommand;Class_6;[];[matchColour];[])
MoveField(uk.codingbadgers.bFundamentals.gui.misc.GuiEnchantment;org.camunda.spin.impl.util.RewindableReader;[id];[];[])
PullUpMethod(org.danann.cernunnos.runtime.ClasspathURLStreamHandler.URLConnectionImpl;java.net.URLConnection;[];[getInputStream];[])
PushDownMethod(pt.ist.ave.jzx.BaseSpectrum;pt.ist.ave.jzx.v48.Spectrum;[];[reset];[])
ExtractSubClass(compiler.Frontend.MiniJavaParser.ProgramContext.ClassDeclarationContext.MainClassContext;Class_7;[method];[IDENT|methodDeclaration];[])
