ExtractSuperClass(hu.qgears.review.eclipse.ui.views.AbstractReviewToolView.ModelChangeListener.ReviewInstanceListener;Class_1;[manager|propertySheetPage];[createContextMenus|eventHappened|reviewModelChanged];[])
PullUpField(hu.qgears.eclipse.ui.svn.Activator;org.eclipse.ui.plugin.AbstractUIPlugin;[PLUGIN_ID];[];[])
DecreaseFieldSecurity(org.pentaho.di.plugins.examples.texteditor.EditorUI.PDIMessages;;[clz];[];[])
PullUpField(com.redhat.lightblue.rest.audit.LightblueAuditServletFilterTest.TeeInMemoryStringPrintStream;java.io.PrintStream;[inMemoryConsole];[];[])
PullUpMethod(com.redhat.lightblue.rest.audit.LightblueAuditServletFilterTest.TeeInMemoryStringPrintStream;java.io.PrintStream;[];[resetInMemoryConsole];[])
ExtractSubClass(hu.qgears.review.eclipse.ui.actions.filters.FilterByReviewStatus;Class_2;[];[enableStatus];[])
PullUpMethod(se.sics.kompics.network.netty.serialization.JavaSerializer.CompactObjectInputStream.CompactObjectOutputStream;java.io.ObjectOutputStream;[];[writeClassDescriptor];[])
DecreaseMethodSecurity(Class_1;;[];[reviewInstanceUpdated];[])
MoveField(hu.qgears.review.model.ReviewInstance;hu.qgears.review.tool.PomFileSet;[model];[];[])
PullUpMethod(org.badiff.imp.FileDiff.FileOpQueue;org.badiff.q.OpQueue;[];[toString];[])
ExtractSubClass(hu.qgears.review.eclipse.ui.views.stats.ReviewToolStatisticsView.ReloadStatisticsAction;Class_3;[statisticsTable];[dispose|run|selectionChanged|setFocus|updateState];[])
ExtractSuperClass(hu.qgears.eclipse.ui.svn.CompareEditorImpl;Class_4;[];[openCompareEditor];[])
PullUpField(hu.qgears.review.eclipse.ui.wizard.ExportReportWizard.WrappedReportGenerator;hu.qgears.review.report.ReportGenerator;[targetFile];[];[])
PullUpMethod(hu.qgears.review.eclipse.ui.ReviewToolUI;org.eclipse.ui.plugin.AbstractUIPlugin;[];[initializeImageRegistry];[])
ExtractClass(org.badiff.p.Pipeline;Class_5;[];[into];[])
PushDownMethod(org.badiff.q.OpQueue;org.badiff.imp.FileDiff.FileOpQueue;[];[apply];[])
PullUpField(de.qabel.core.exceptions.QblDropInvalidMessageSizeException;de.qabel.core.exceptions.QblException;[serialVersionUID];[];[])
ExtractSuperClass(hu.qgears.review.report.ReviewStatusColumnDefinition.hhh;Class_6;[];[compare];[])
PullUpMethod(se.sics.kompics.network.netty.serialization.JavaSerializer.CompactObjectInputStream;java.io.ObjectInputStream;[];[resolveClass];[])
IncreaseMethodSecurity(org.badiff.alg.InertialGraph.GraphOpQueue;;[];[pull];[])
IncreaseFieldSecurity(com.redhat.lightblue.rest.audit.LightblueAuditServletFilterTest.TeeInMemoryStringPrintStream;;[originalPrintStream];[];[])
