ExtractSuperClass(io.scif.bf.BioFormatsFormat.DesiredChannels;Class_1;[DO_NOT_CONVERT];[addReader|createImageReader];[])
MoveField(org.badiff.Op;org.badiff.imp.MemoryDiff.MemoryOpQueue;[DELETE];[];[])
IncreaseMethodSecurity(org.badiff.alg.AdjustableInertialGraph.GraphOpQueue;;[];[pull];[])
DecreaseFieldSecurity(org.badiff.imp.StreamQueueable.StreamOpQueue;;[closed];[];[])
PullUpMethod(io.scif.bf.BioFormatsFormat.DesiredChannels;Class_1;[];[getSuffixes];[])
ExtractClass(io.scif.bf.BioFormatsFormat.DesiredChannels.Metadata.Checker;Class_2;[log];[checkHeader];[])
ExtractSuperClass(org.badiff.p.Pipeline;Class_3;[];[into];[])
PullUpField(org.badiff.imp.StreamQueueable.StreamOpQueue;org.badiff.q.OpQueue;[closed];[];[])
ExtractSubClass(org.badiff.fmt.BadiffFormat.BadiffFormatOpQueue;Class_4;[bd];[];[])
PullUpMethod(org.badiff.fmt.GdiffFormat.GdiffOpQueue;org.badiff.q.OpQueue;[];[toString];[])
PullUpField(org.badiff.alg.AdjustableInertialGraph.GraphOpQueue;org.badiff.q.OpQueue;[pos];[];[])
PullUpField(io.scif.bf.BioFormatsFormat.DesiredChannels.Metadata;io.scif.AbstractMetadata;[colorTableXML];[];[])
ExtractClass(project_385.FileGetter;Class_5;[fname|output];[];[])
ExtractSuperClass(Class_2;Class_6;[];[getLog];[])
ExtractSuperClass(org.badiff.Op;Class_7;[VERSION|op|run];[apply|getDELETE];[])
MoveField(io.scif.bf.BioFormatsFormat.DesiredChannels.Metadata;Class_5;[metadataStore];[];[])
ExtractSuperClass(org.badiff.q.OpQueue;Class_8;[iterNext];[];[])
ExtractClass(org.badiff.imp.FileDiff.FileOpQueue;Class_9;[];[close|deserialize];[])
DecreaseFieldSecurity(de.qabel.box.storage.DeleteOnCloseFileInputStream;;[file];[];[])
PushDownMethod(org.badiff.q.OpQueue;org.badiff.q.StreamChunkingOpQueue;[];[remove];[])
ExtractClass(com.google.authenticator.blackberry.BufferedReader;Class_10;[buf|pos];[fillbuf|markSupported|reset|skip];[])
ExtractSuperClass(Class_10;Class_11;[buf];[getBuf|markSupported|reset|setPos];[])
MoveMethod(MidiLibs.MidiDataInputStream;de.qabel.box.storage.DeleteOnCloseFileInputStream;[];[readVariableLengthInt];[])
ExtractSubClass(com.esri.apl.mymaps.BluetoothFragment.OnBluetoothChangeListener.PeerListAdapter.ServerThread;Class_12;[];[cancel];[])
MoveField(org.badiff.fmt.GdiffFormat.GdiffOpQueue;io.scif.bf.BioFormatsFormat.DesiredChannels.Metadata.Checker.Parser.Reader;[orig];[];[])
ExtractClass(org.badiff.q.BufferChunkingOpQueue;Class_13;[target];[readChunk];[])
ExtractSuperClass(Class_9;Class_14;[];[close];[])
ExtractSubClass(org.badiff.fmt.GdiffFormat.GdiffOpQueue;Class_15;[reader];[];[])
ExtractSuperClass(Class_11;Class_16;[pos];[setPos];[])
DecreaseFieldSecurity(io.scif.bf.BioFormatsFormat.DesiredChannels.Metadata.Checker.Parser.Reader;;[orig];[];[])
IncreaseMethodSecurity(project_385.FileGetter;;[];[getFname];[])
ExtractSuperClass(Class_7;Class_17;[op];[apply];[])
