ExtractSuperClass(com.microsoft.windowsazure.messaging.Registration.RegistrationType;Class_1;[mETag|mExpirationTime|mNotificationHubPath|mRegistrationId|mURI];[UTCDateStringToDate|addTags|appendNodeWithValue|getRegistrationInformation|getUpdated];[])
ExtractSuperClass(com.microsoft.windowsazure.messaging.e2etestapp.push.GCMMessageManager;Class_2;[pushMessages];[run];[])
IncreaseMethodSecurity(com.microsoft.windowsazure.messaging.e2etestapp.NotificationHubsPreferenceActivity;;[];[onPostCreate];[])
DecreaseFieldSecurity(com.google.zxing.client.android.ViewfinderView;;[resultColor];[];[])
DecreaseMethodSecurity(com.microsoft.windowsazure.messaging.ConnectionStringParser.ParserState;;[];[isStartWithKnownKey];[])
ExtractClass(artofillusion.math.FastRandom;Class_3;[ADDEND];[setSeed];[])
PullUpField(com.asdamp.x_day.Data;java.util.GregorianCalendar;[millisecondiIniziali];[];[])
IncreaseMethodSecurity(com.livrexpress.barcode.qrcode.detector.AlignmentPattern;;[];[combineEstimate];[])
PushDownField(com.microsoft.windowsazure.messaging.e2etestapp.framework.TestGroup;com.microsoft.windowsazure.messaging.e2etestapp.tests.MiscTests;[mNewTestRun];[];[])
PullUpMethod(org.apache.servicemix.samples.cxf_ws_rm.MessageLossSimulator.WrappedOutputStream.DummyOutputStream;java.io.OutputStream;[];[write];[])
MoveField(uk.co.chrisjenx.paralloid.graphics.ParallaxDrawable;com.microsoft.windowsazure.messaging.e2etestapp.framework.TestGroup.TestRunStatus;[mWrappedDrawable];[];[])
MoveMethod(com.livrexpress.barcode.qrcode.detector.FinderPattern;com.hako.utils.HomeLayout;[];[getCount];[])
DecreaseFieldSecurity(com.microsoft.windowsazure.messaging.ConnectionStringParser.ParserState;;[_value];[];[])
ExtractSubClass(com.microsoft.windowsazure.messaging.e2etestapp.TestCaseAdapter;Class_4;[mContext];[getView];[])
PullUpField(com.microsoft.windowsazure.messaging.e2etestapp.tests.MiscTests;com.microsoft.windowsazure.messaging.e2etestapp.framework.TestGroup;[ROUND_TRIP_TABLE_NAME];[];[])
DecreaseMethodSecurity(com.microsoft.windowsazure.messaging.e2etestapp.tests.MiscTests;;[];[unregisterAll];[])
DecreaseFieldSecurity(Class_3;;[ADDEND];[];[])
MoveMethod(com.google.zxing.client.android.ViewfinderView;android.support.v7.app.AppCompatActivity;[];[drawViewfinder];[])
DecreaseFieldSecurity(com.google.zxing.client.android.ViewfinderView;;[laserColor];[];[])
PullUpField(com.hako.utils.HomeLayout;android.view.ViewGroup;[mMaxChildWidth];[];[])
ExtractSubClass(com.google.zxing.client.android.ViewfinderView;Class_5;[OPAQUE|resultColor];[addPossibleResultPoint|drawResultBitmap];[])
MoveMethod(android.support.v7.app.AppCompatActivity;com.microsoft.windowsazure.messaging.e2etestapp.ArrayAdapter;[];[drawViewfinder];[])
ExtractSuperClass(com.microsoft.windowsazure.messaging.e2etestapp.framework.TestGroup;Class_6;[mName|mTestCases];[getName];[])
ExtractSubClass(com.livrexpress.barcode.qrcode.detector.FinderPattern;Class_7;[count];[getCount];[])
MoveField(java.util.GregorianCalendar;com.microsoft.windowsazure.messaging.AdmNativeRegistration;[millisecondiIniziali];[];[])
ExtractSuperClass(com.microsoft.windowsazure.messaging.NotificationHub;Class_8;[XML_CONTENT_TYPE|mIsRefreshNeeded|mNotificationHubPath|mSharedPreferences];[registerBaidu|unregister];[])
PushDownField(com.livrexpress.barcode.qrcode.detector.FinderPattern;Class_7;[estimatedModuleSize];[];[])
DecreaseFieldSecurity(com.clearspring.analytics.stream.membership.DataOutputBuffer.Buffer;;[buffer];[];[])
EncapsulateField(com.microsoft.windowsazure.messaging.e2etestapp.tests.MiscTests;;[mNewTestRun];[];[])
ExtractSubClass(com.microsoft.notification_hubs_test_app.NotificationData.CustomActionType.CustomAudioType.MessageSize;Class_9;[badgeCount|customAudio|messageSize|title];[parseCustomAction];[])
DecreaseMethodSecurity(com.microsoft.windowsazure.messaging.e2etestapp.tests.MiscTests;;[];[createReRegisterTemplateInvalidPayloadTestCase];[])
IncreaseMethodSecurity(com.livrexpress.barcode.qrcode.detector.AlignmentPattern;;[];[aboutEquals];[])
DecreaseMethodSecurity(com.microsoft.windowsazure.messaging.ConnectionStringParser.ParserState;;[];[createException];[])
MoveMethod(com.microsoft.windowsazure.messaging.e2etestapp.framework.TestGroup.TestRunStatus;com.microsoft.notification_hubs_test_app.NotificationData.CustomActionType;[];[getMWrappedDrawable];[])
