ExtractSuperClass(io.avaje.metrics.agent.asm.Attribute.Set;Class_1;[SIZE_INCREMENT];[add|addAttributes];[])
ExtractClass(io.avaje.metrics.MockBucketTimedMetric;Class_2;[count];[testGetCount];[])
MoveField(io.avaje.metrics.agent.asm.ClassTooLargeException;org.test.app.model.Contact;[className];[];[])
ExtractClass(org.jenkinsci.plugins.iosbuilder.signing.bouncycastle.asn1.x509.X509Extensions;Class_3;[AuthorityInfoAccess|AuthorityKeyIdentifier|BasicConstraints|BiometricInfo|FreshestCRL|InstructionCode|InvalidityDate|IssuingDistributionPoint|LogoType|NameConstraints|PolicyMappings|SubjectKeyIdentifier|TargetInformation|extensions];[getCriticalExtensionOIDs|getExtension|getExtensionOIDs|getInstance|toOidArray];[])
ExtractSubClass(org.test.app.model.Contact;Class_7;[className];[];[])
ExtractSuperClass(io.avaje.metrics.agent.offline.OfflineFileTransform;Class_8;[inputStreamTransform];[process];[])
PullUpField(com.android.volley.toolbox.PoolingByteArrayOutputStream;java.io.ByteArrayOutputStream;[DEFAULT_SIZE];[];[])
PushDownField(org.jenkinsci.plugins.iosbuilder.signing.bouncycastle.asn1.ASN1OutputStream;org.jenkinsci.plugins.iosbuilder.signing.bouncycastle.asn1.ASN1OutputStream.ImplicitOutputStream;[os];[];[])
MoveMethod(org.apache.bsf.util.MethodUtils.MoreSpecific;org.apache.commons.pool2.impl.ThrowableCallStack.Snapshot;[];[getConstructor];[])
ExtractSubClass(org.apache.bsf.util.event.generator.AdapterClassLoader;Class_9;[classCache];[defineClass|put];[])
PushDownField(io.avaje.metrics.agent.asm.Symbol;io.avaje.metrics.agent.asm.SymbolTable.Entry;[TYPE_TAG];[];[])
PushDownMethod(org.test.main.BaseService;org.test.main.ExampleService;[];[findAll];[])
DecreaseFieldSecurity(org.jenkinsci.plugins.iosbuilder.signing.bouncycastle.asn1.cms.SignerIdentifier;;[id];[];[])
IncreaseMethodSecurity(org.apache.commons.pool2.impl.ThrowableCallStack.Snapshot;;[];[getConstructor];[])
ExtractSubClass(io.avaje.metrics.MockTimedMetric;Class_10;[count];[testOperationEnd];[])
IncreaseMethodSecurity(org.apache.bsf.BSF_Log;;[];[main];[])
ExtractSuperClass(io.avaje.metrics.MockBucketTimedMetric;Class_12;[];[add|addErr];[])
ExtractSubClass(org.test.app.SimpleService;Class_13;[];[doSomethingElse];[])
ExtractSubClass(org.apache.bsf.util.event.generator.AdapterClassLoader.LocalThreadClassLoader;Class_14;[];[findSystemClass];[])
MoveField(Interpret.InterpretConsole;io.avaje.metrics.agent.AddTimerMetricMethodAdapter.TimedAnnotationVisitor;[_area];[];[])
DecreaseFieldSecurity(org.jenkinsci.plugins.iosbuilder.signing.bouncycastle.asn1.ASN1Set;;[set];[];[])
PullUpMethod(io.avaje.metrics.agent.common.ClassWriterWithoutClassLoading;io.avaje.metrics.agent.asm.ClassWriter;[];[isInterface];[])
IncreaseMethodSecurity(org.jenkinsci.plugins.iosbuilder.signing.bouncycastle.asn1.DEROutputStream;;[];[writeObject];[])
IncreaseMethodSecurity(io.avaje.metrics.agent.ArgParserTest;;[];[testParse];[])
PushDownField(java.io.ByteArrayOutputStream;com.android.volley.toolbox.PoolingByteArrayOutputStream;[DEFAULT_SIZE];[];[])
IncreaseFieldSecurity(org.test.app.model.Contact;;[name];[];[])
ExtractClass(io.avaje.metrics.agent.common.ClassWriterWithoutClassLoading;Class_16;[type2instanceOfs];[getSuperclass];[])
ExtractClass(io.avaje.metrics.agent.asm.ClassWriter;Class_17;[accessFlags|debugExtension|firstField|firstRecordComponent|interfaceCount|lastRuntimeInvisibleAnnotation|moduleWriter|numberOfNestMemberClasses|signatureIndex|thisClass];[getClassLoader|newClass|newConstantDynamic|newField|newModule|replaceAsmInstructions|visitAnnotation|visitField|visitNestHost|visitTypeAnnotation];[])
EncapsulateField(io.avaje.metrics.agent.offline.InputStreamTransform;;[classLoader];[];[])
ExtractSubClass(io.avaje.metrics.agent.common.ClassWriterWithoutClassLoading;Class_18;[type2isInterface];[];[])
MoveField(io.avaje.metrics.agent.AddTimerMetricMethodAdapter.TimedAnnotationVisitor;java.io.InputStream;[_area];[];[])
ExtractSuperClass(org.apache.bsf.BSF_Log;Class_19;[fatal2|iDebug|isTraceEnabled|oac_LogFactory|trace1];[dump|main|trace];[])
ExtractClass(org.test.app.OtherSimpleService;Class_1;[];[sayHi];[])
ExtractSubClass(org.test.app.OtherSimpleService;Class_2;[];[sayHi];[])
ExtractSubClass(io.avaje.metrics.agent.AddTimerMetricMethodAdapter.TimedAnnotationVisitor;Class_3;[];[];[])
ExtractSuperClass(com.android.volley.toolbox.ByteArrayPool;Class_4;[BUF_COMPARATOR|mBuffersByLastUse];[compare|getBuf];[])
DecreaseFieldSecurity(io.avaje.metrics.agent.AddTimerMetricMethodAdapter.TimedAnnotationVisitor;;[inputstream];[];[])
PullUpMethod(org.jenkinsci.plugins.iosbuilder.signing.bouncycastle.asn1.x509.Time;org.jenkinsci.plugins.iosbuilder.signing.bouncycastle.asn1.ASN1Object;[];[getTime];[])
IncreaseFieldSecurity(io.avaje.metrics.agent.AddTimerMetricMethodAdapter.TimedAnnotationVisitor;;[inputstream];[];[])
DecreaseFieldSecurity(org.apache.bsf.util.MethodUtils.MoreSpecific;;[snapshot];[];[])
ExtractClass(io.avaje.metrics.agent.AddTimerMetricMethodAdapter.TimedAnnotationVisitor;Class_6;[];[addFieldDefinition|onMethodEnter|set_area];[])
PullUpField(org.jenkinsci.plugins.iosbuilder.signing.bouncycastle.asn1.cms.SignerIdentifier;org.jenkinsci.plugins.iosbuilder.signing.bouncycastle.asn1.ASN1Object;[id];[];[])
PullUpField(org.jenkinsci.plugins.iosbuilder.signing.bouncycastle.asn1.ASN1OutputStream.ImplicitOutputStream;org.jenkinsci.plugins.iosbuilder.signing.bouncycastle.asn1.ASN1OutputStream;[first];[];[])
IncreaseFieldSecurity(org.jenkinsci.plugins.iosbuilder.signing.bouncycastle.asn1.x509.Time;;[time];[];[])
PushDownField(org.test.web.api.BaseTest;org.test.web.api.SpringServiceAndRepositoryCallingTest;[transformArgs];[];[])
MoveField(io.avaje.metrics.agent.asm.Constants;org.test.main.ExampleService;[RUNTIME_VISIBLE_PARAMETER_ANNOTATIONS];[];[])
IncreaseMethodSecurity(com.myapp.something.nice.NiceService;;[];[doNice];[])
ExtractSuperClass(Class_10;Class_8;[];[];[])
