ExtractSubClass(org.smpp.charset.Gsm7BitCharset;Class_12;[debug|defaultDecodeMap|defaultEncodeMap|extDecodeMap];[contains];[])
PullUpMethod(com.google.java.contract.core.agent.ContractFixingClassAdapter.AccessMethodAdapter;org.objectweb.asm.MethodVisitor;[];[visitMethod];[])
PullUpMethod(org.leo.bytecode.asm.aop.AopClassLoader;java.lang.ClassLoader;[];[loadClass];[])
PushDownField(com.noveogroup.clap.web.util.locale.MessagesBundle;com.noveogroup.clap.web.util.locale.ClapMessagesBundle;[BUNDLE_EXTENSION];[];[])
DecreaseFieldSecurity(org.pentaho.di.trans.steps.mongodbinput.BaseMongoDbStepTest;;[mockLog];[];[])
PullUpMethod(com.google.java.contract.core.agent.ContractFixingClassAdapter.AccessMethodAdapter;org.objectweb.asm.MethodVisitor;[];[visitInvokeDynamicInsn];[])
PullUpField(org.pentaho.di.trans.steps.mongodbinput.MongoDbInputMeta;org.pentaho.di.trans.steps.mongodb.MongoDbMeta;[jsonQuery];[];[])
MoveField(org.pentaho.di.trans.steps.mongodboutput.MongoDbOutputData.MongoTopLevel;com.vtb.test.automation.framework.selenium2.ui.Downloads;[m_outputRowMeta];[];[])
PullUpField(com.google.java.contract.core.agent.ContractClassFileTransformer.SuperInfoFinder.NonLoadingClassWriter;org.objectweb.asm.ClassWriter;[superClassNames];[];[])
ExtractClass(com.google.java.contract.core.agent.ContractClassFileTransformer.SuperInfoFinder.NonLoadingClassWriter;Class_13;[assignableToNames];[getCommonSuperClass];[])
ExtractSubClass(com.google.java.contract.core.runtime.BlacklistManager;Class_14;[];[getInstance|isIgnored];[])
IncreaseFieldSecurity(com.google.java.contract.core.agent.ContractHandle;;[className];[];[])
MoveMethod(org.pentaho.di.ui.trans.steps.mongodbinput.MongoDbInputXulDialog.IsEmptyStringToBooleanConvertor.SelectedToBooleanConvertor;com.peergreen.deployment.internal.processor.uriresolver.CheckZipException;[];[sourceToTarget];[])
ExtractClass(org.pentaho.di.ui.trans.steps.mongodbinput.MongoDbInputXulDialog.IsEmptyStringToBooleanConvertor.SelectedToBooleanConvertor;Class_15;[];[sourceToTarget];[])
EncapsulateField(intelligence.eliza.Decomp;;[currReasmb];[];[])
MoveMethod(org.pentaho.mongo.wrapper.KettleMongoUtilLogger;test.aspects.HandleExceptionTest.TestService.BooomException;[];[error];[])
PullUpField(me.MnC.MnC_SERVER_MOD.util.MTRandom;java.util.Random;[M];[];[])
MoveField(org.pentaho.di.trans.steps.mongodb.MongoDbMeta;org.pentaho.di.trans.steps.mongodboutput.MongoDbOutputMetaInjectionTest;[m_readPrefTagSets];[];[])
MoveField(org.tuleap.mylyn.task.internal.agile.ui.editors.cardwall.figure.DateWidget;org.pentaho.di.ui.trans.steps.mongodbinput.MongoDbInputXulDialog.IsEmptyStringToBooleanConvertor.SelectedToBooleanConvertor.RowCountToBooleanConvertor;[dateText];[];[])
DecreaseFieldSecurity(org.pentaho.di.trans.steps.mongodboutput.MongoDbOutputDataTest;;[client];[];[])
MoveMethod(org.pentaho.di.trans.steps.mongodboutput.MongoDbOutputDialog;org.pentaho.di.ui.trans.steps.mongodbinput.MongoDbInputXulDialog.IsEmptyStringToBooleanConvertor.SelectedToBooleanConvertor.RowCountToBooleanConvertor;[];[widgetDefaultSelected];[])
PullUpField(org.tuleap.mylyn.task.internal.agile.ui.editors.cardwall.figure.DateWidget;org.eclipse.swt.widgets.Composite;[selectedHourOfDay];[];[])
IncreaseMethodSecurity(com.google.java.contract.core.runtime.BlacklistManager;;[];[unignore];[])
EncapsulateField(org.tuleap.mylyn.task.internal.agile.ui.editors.cardwall.figure.DateWidget;;[calendar];[];[])
MoveMethod(org.tuleap.mylyn.task.internal.agile.ui.editors.cardwall.figure.DateWidget;org.smpp.charset.Gsm7BitCharset.Gsm7BitEncoder;[];[widgetSelected];[])
ExtractSubClass(org.pentaho.di.ui.trans.steps.mongodbinput.MongoDbInputXulDialog.IsEmptyStringToBooleanConvertor;Class_17;[];[targetToSource];[])
ExtractSubClass(me.MnC.MnC_SERVER_MOD.util.MTRandom;Class_18;[compat];[next|setSeed];[])
PullUpField(org.pentaho.di.ui.trans.steps.mongodbinput.models.MongoDocumentField;org.pentaho.ui.xul.XulEventSourceAdapter;[m_disparateTypes];[];[])
MoveField(com.vtb.test.automation.framework.selenium2.ui.Browser.Downloads;com.peergreen.deployment.report.ArtifactStatusReportException;[semaphore];[];[])
ExtractSuperClass(intelligence.eliza.Decomp;Class_19;[currReasmb];[mem|nextRule];[])
ExtractSuperClass(com.google.java.contract.core.model.ContractKind;Class_21;[];[getNameSpace];[])
ExtractClass(org.pentaho.mongo.wrapper.field.MongoArrayExpansion;Class_22;[m_subFields|m_tempParts];[convertToKettleValue|init];[])
IncreaseMethodSecurity(com.vtb.test.automation.framework.selenium2.ui.Browser.Downloads;;[];[waitForDownloadedFile];[])
PullUpMethod(com.google.java.contract.core.agent.SpecificationClassAdapter;org.objectweb.asm.ClassVisitor;[];[getParent];[])
ExtractSubClass(org.pentaho.di.ui.swing.preview.PreviewRowsSwingDialog;Class_24;[];[getResourceBundle|onAccept|onCancel];[])
MoveField(com.google.java.contract.core.runtime.BlacklistManager;org.pentaho.di.ui.trans.steps.mongodbinput.BindingConvertor;[instance];[];[])
DecreaseMethodSecurity(org.smpp.charset.Gsm7BitCharset.Gsm7BitEncoder.Gsm7BitDecoder;;[];[decodeLoop];[])
ExtractClass(org.tuleap.mylyn.task.internal.agile.ui.editors.cardwall.figure.DateWidget;Class_26;[dateFormat|pickButton];[focusLost];[])
PullUpField(com.vtb.test.automation.framework.selenium2.ui.Browser.Downloads;java.io.File;[NO_ACTIVE_DOWNLOADS_FILTER];[];[])
PullUpMethod(com.peergreen.deployment.report.ArtifactStatusReportException;java.lang.Exception;[];[getSemaphore];[])
ExtractSuperClass(com.vtb.test.automation.framework.selenium2.ui.Downloads;Class_27;[];[setM_outputRowMeta];[])
PullUpField(math.jwave.exceptions.JWaveNotFound;math.jwave.exceptions.JWaveFailure;[serialVersionUID];[];[])
MoveField(org.eclipse.swt.widgets.Composite;com.peergreen.deployment.facet.archive.ArchiveException;[selectedHourOfDay];[];[])
MoveMethod(com.vtb.test.automation.framework.selenium2.ui.Downloads;com.peergreen.deployment.report.ArtifactStatusReportException;[];[getM_outputRowMeta];[])
PullUpMethod(math.jwave.exceptions.JWaveException;java.lang.Throwable;[];[showMessage];[])
DecreaseFieldSecurity(org.pentaho.mongo.wrapper.MongoWrapperUtilTest;;[mockFactory];[];[])
ExtractClass(com.google.java.contract.core.runtime.BlacklistManager;Class_28;[];[unignore];[])
PushDownMethod(org.objectweb.asm.ClassVisitor;com.google.java.contract.core.agent.ContractClassFileTransformer.SuperInfoFinder;[];[getParent];[])
MoveField(org.pentaho.di.ui.trans.steps.mongodbinput.models.MongoDocumentField;test.aspects.HandleExceptionTest.TestService.BooomException;[m_arrayIndexInfo];[];[])
ExtractSubClass(com.peergreen.deployment.report.ArtifactStatusReportException;Class_29;[];[getM_outputRowMeta];[])
