ExtractSubClass(org.spoutcraft.launcher.skin.components.LiteButton;Class_1;[clicked];[mouseExited];[])
PullUpMethod(project_385.FileGetter;javax.swing.JFileChooser;[];[failed];[])
PullUpMethod(com.spectralogic.ds3client.utils.SeekableByteChannelInputStream;java.io.InputStream;[];[close];[])
ExtractSubClass(com.sirma.itt.javacourse.ds.queues.ArrayQueueTest;Class_2;[];[should_ThrowException_When_QueueIsFullWhenEnqueue];[])
MoveMethod(com.sirma.itt.javacourse.intro.numbers.LargeNumbers;mbank.database.beans.Account;[];[sumTwoNumbers];[])
DecreaseFieldSecurity(com.sirma.itt.javacourse.threads.hashtable.TimeoutHashtable.Timer;;[isUsed];[];[])
PullUpMethod(org.spoutcraft.launcher.skin.components.DynamicButton.DynamicLabel;javax.swing.JLabel;[];[setVisible];[])
MoveField(heroesgrave.spade.gui.colorchooser.HexColourField;com.tp.edsi.vue.RadioBouton;[input];[];[])
DecreaseFieldSecurity(com.spectralogic.ds3client.integration.RandomDataInputStream;;[rand];[];[])
ExtractSuperClass(com.sirma.itt.javacourse.collections.page.CommandExecutor;Class_3;[HAS_NEXT_PAGE_STRING|pageBean];[readLine];[])
MoveMethod(mbank.database.beans.Deposit;javax.swing.tree.DefaultMutableTreeNode;[];[getType];[])
ExtractSuperClass(mbank.database.managersImpl.AccountDBManager;Class_4;[];[delete|queryAccountByClient|update];[])
ExtractSuperClass(com.sirma.itt.javacourse.inputoutput.console.ConsoleReader;Class_5;[];[readFloat];[])
IncreaseFieldSecurity(com.sirma.itt.javacourse.ds.lists.CircularlyLinkedList.Node;;[element];[];[])
PullUpField(com.spectralogic.ds3client.integration.RandomDataInputStream;java.io.InputStream;[rand];[];[])
ExtractSubClass(com.sirma.itt.javacourse.collections.page.PageBeanTest;Class_6;[];[testHasPreviousPageInCenterPage|testLastPageInBeginning|testLastPageInCenter|testPageBeanWithNegativePageSize|testPageBeanWithNoPrevPage];[])
PullUpField(com.spectralogic.ds3client.utils.SeekableByteChannelInputStream;java.io.InputStream;[markPosition];[];[])
ExtractSuperClass(com.sirma.itt.javacourse.exceptions.console.UnitTestReader;Class_7;[counter];[readInput];[])
DecreaseFieldSecurity(com.spotify.docker.client.npipe.NamedPipeSocket;;[outputShutdown];[];[])
PullUpMethod(com.sirma.itt.javacourse.exceptions.console.UnitTestReader;Class_7;[];[getUserInput];[])
ExtractSuperClass(com.sirma.itt.javacourse.inputoutput.files.FileWriter;Class_8;[input|scanner];[setStream];[])
PullUpField(com.companyname.blockgame.BlockTypes.Bedrock;com.companyname.blockgame.Block;[serialVersionUID];[];[])
ExtractClass(com.spectralogic.ds3client.utils.SeekableByteChannelInputStream;Class_9;[];[mark|read];[])
PullUpMethod(com.sirma.itt.javacourse.gui.reverseserver.ClientHandler;java.lang.Thread;[];[setServerStopped];[])
PullUpMethod(heroesgrave.spade.gui.PaintCanvas;javax.swing.JComponent;[];[drawGrid];[])
IncreaseMethodSecurity(com.sirma.itt.javacourse.ds.Main;;[];[main];[])
MoveMethod(com.companyname.blockgame.Cell;com.spotify.docker.client.npipe.NpipeSocketAddress;[];[render];[])
PushDownMethod(javax.swing.tree.DefaultMutableTreeNode;heroesgrave.spade.image.Layer;[];[getType];[])
PullUpField(org.spoutcraft.launcher.skin.components.TransparentButton;javax.swing.JButton;[serialVersionUID];[];[])
ExtractSuperClass(com.sirma.itt.javacourse.gui.calculatormvc.CalculatorModel;Class_10;[INITIAL_VALUE];[setValue];[])
ExtractSubClass(com.sirma.itt.javacourse.threads.hashtable.TimeoutHashtable;Class_11;[LOGGER|MINIMUM_SECONDS_FOR_EACH_ELEMENT];[get|put];[])
IncreaseMethodSecurity(com.spectralogic.ds3client.integration.RandomDataInputStream;;[];[read];[])
PushDownField(com.sirma.itt.javacourse.objects.figures.Circle;com.sirma.itt.javacourse.objects.figures.Ellipse;[radius];[];[])
PullUpField(heroesgrave.spade.io.exporters.ExporterGenericImageIO;heroesgrave.spade.io.ImageExporter;[description];[];[])
PullUpField(heroesgrave.spade.image.Layer;javax.swing.tree.DefaultMutableTreeNode;[info];[];[])
IncreaseMethodSecurity(com.sirma.itt.javacourse.patterns.singleton.Singleton;;[];[getInstance];[])
ExtractClass(com.sirma.itt.javacourse.patterns.singleton.EventLog;Class_12;[message];[];[])
IncreaseMethodSecurity(org.spoutcraft.launcher.skin.components.DynamicButton.DynamicLabel;;[];[paint];[])
ExtractClass(com.sirma.itt.javacourse.ds.trees.BinaryTree.Node;Class_13;[parent|value];[];[])
PullUpField(view.mainFrame.LoginPage;javax.swing.JScrollPane;[passwordField];[];[])
ExtractSubClass(com.sirma.itt.javacourse.patterns.pool.ObjectPool;Class_14;[maxPoolSize];[release];[])
PullUpMethod(default.TestReader;java.io.BufferedReader;[];[readLine];[])
ExtractSubClass(se.sics.kompics.network.netty.serialization.JavaSerializer.CompactObjectInputStream;Class_15;[];[readStreamHeader];[])
