ExtractClass(net.java.sen.filter.stream.CommentFilter.Rule;Class_1;[end];[readRules];[])
ExtractSuperClass(com.zju.ccnt.or.common.glossary.UnsignedLong;Class_2;[serialVersionUID];[valueOf];[])
ExtractSubClass(net.java.sen.trie.TrieBuilder.TrieNode;Class_3;[left|right];[build|fetch];[])
ExtractSubClass(com.utils.Hashtable;Class_4;[];[get];[])
DecreaseFieldSecurity(net.java.sen.dictionary.Sentence.ConstrainedIterator.UnconstrainedIterator;;[nextIndexValid];[];[])
EncapsulateField(net.java.sen.tokenizers.ja.JapaneseTokenizer;;[HIRAGANA];[];[])
PullUpField(se.sics.kompics.network.netty.serialization.JavaSerializer.CompactObjectInputStream;java.io.ObjectInputStream;[classResolver];[];[])
ExtractClass(net.java.sen.dictionary.Sentence.ConstrainedIterator;Class_5;[limit|skipped];[hasNext|length|next];[])
IncreaseMethodSecurity(com.zju.ccnt.or.net.impl.XInputStreamImpl;;[];[read];[])
ExtractSubClass(net.java.sen.filter.stream.CompoundWordFilter;Class_6;[];[getField|getFieldStart];[])
MoveField(net.java.sen.dictionary.Morpheme.LoadState;org.toilelibre.libe.soundtransform.model.inputstream.StreamInfo;[conjugationalType];[];[])
MoveField(org.toilelibre.libe.soundtransform.model.converted.sound.SegmentedSound;org.apache.solr.analysis.GosenReadingsFormFilterFactory;[serialVersionUID];[];[])
PushDownField(com.zju.ccnt.or.common.glossary.UnsignedLong;com.zju.ccnt.or.common.glossary.UnsignedLong.UnsignedLong4.UnsignedLong8.UnsignedLongUnlimited;[CACHE];[];[])
ExtractSuperClass(net.java.sen.SentenceTest.TestSpan;Class_7;[readingConstraint];[testBasicIteration|testInvalidReadingConstraint1|testInvalidReadingConstraint2|testInvalidReadingConstraint4|testInvalidReadingConstraint5|testInvalidReadingConstraint6|testOverlappingReadingConstraint3|testReadingConstraint3|testRemovedReadingConstraint|testSpaceSkipping2];[])
MoveMethod(com.utils.Hashtable;org.apache.lucene.analysis.FilteringTokenFilter;[];[clear];[])
PushDownField(Class_7;net.java.sen.SentenceTest.TestSpan;[readingConstraint];[];[])
PullUpMethod(com.github.kevinsawicki.http.HttpRequest.ConnectionFactory.UploadProgress.Base64.HttpRequestException.Operation.CloseOperation.FlushOperation.RequestOutputStream;java.io.BufferedOutputStream;[];[head];[])
PullUpField(com.zju.ccnt.or.net.impl.packet.ResultSetRowPacket;com.zju.ccnt.or.net.impl.packet.RawPacket;[columns];[];[])
ExtractClass(com.jv.io.VerboseWriter;Class_8;[w];[close];[])
PushDownField(org.toilelibre.libe.soundtransform.model.converted.FormatInfo;org.toilelibre.libe.soundtransform.model.inputstream.StreamInfo;[sampleRate];[];[])
DecreaseFieldSecurity(main.ReadingGrammarException;;[serialVersionUID];[];[])
PullUpMethod(se.sics.kompics.network.netty.serialization.JavaSerializer.CompactObjectInputStream.CompactObjectOutputStream;java.io.ObjectOutputStream;[];[writeStreamHeader];[])
MoveMethod(us.kbase.common.service.JsonTokenStream.LargeStringSearchingReader;com.zx.ci.textanalysis.lucene.impl.SynonymPhraseStopWordAnalyzer;[];[read];[])
PullUpMethod(se.sics.kompics.network.netty.serialization.JavaSerializer.CompactObjectInputStream;java.io.ObjectInputStream;[];[resolveClass];[])
ExtractSubClass(util.BitSet2;Class_9;[length];[insert|length];[])
MoveMethod(Class_5;com.zju.ccnt.or.common.glossary.UnsignedLong.UnsignedLong4;[];[setLimit];[])
MoveField(com.zju.ccnt.or.common.util.XSerializer;net.java.sen.filter.ReadingNode;[tos];[];[])
ExtractClass(org.toilelibre.libe.soundtransform.model.converted.FormatInfo;Class_10;[sampleSize];[getSampleRate|sameFormatAs];[])
IncreaseFieldSecurity(com.utils.Hashtable;;[filteringtokenfilter];[];[])
PushDownMethod(com.zju.ccnt.or.common.glossary.UnsignedLong;com.zju.ccnt.or.common.glossary.UnsignedLong.UnsignedLong4;[];[equals];[])
MoveField(com.zx.ci.textanalysis.lucene.impl.SynonymPhraseStopWordAnalyzer;Class_7;[phrasesCache];[];[])
EncapsulateField(net.java.sen.filter.ReadingNode;;[baseReadings];[];[])
DecreaseFieldSecurity(us.kbase.common.service.JsonTokenStream.LargeStringSearchingReader;;[commonLength];[];[])
