ExtractSubClass(com.betfair.api.ng.objects.Match;Class_1;[Size];[getSize|setMatchDate|setMatchId|toString];[])
IncreaseFieldSecurity(com.api.ng.sample.R.attr.drawable.id;;[menu_settings];[];[])
ExtractClass(com.appboy.ui.inappmessage.views.AppboyInAppMessageWebView;Class_2;[];[dispatchKeyEvent];[])
ExtractSuperClass(com.betfair.api.ng.objects.MarketFilter;Class_3;[eventTypeIds|marketStartTime];[getEventIds];[])
ExtractSubClass(com.betfair.aping.entities.PlaceExecutionReport;Class_4;[instructionReports];[setCustomerRef|setErrorCode|setMarketId];[])
EncapsulateField(community_detection.MaxHeap;;[currentIndex];[];[])
MoveMethod(com.appboy.ui.inappmessage.views.AppboyInAppMessageWebView;com.api.ng.sample.R.attr.drawable.id.layout.menu.string;[];[dispatchKeyEvent];[])
IncreaseMethodSecurity(com.betfair.aping.exceptions.APINGException;;[];[toString];[])
ExtractSuperClass(com.betfair.aping.entities.PriceSize;Class_5;[size];[getPrice|setPrice];[])
ExtractClass(com.betfair.aping.exceptions.APINGException;Class_6;[requestUUID];[];[])
ExtractSubClass(com.api.ng.sample.ApiNG;Class_7;[];[onClick|onCreateOptionsMenu|onPageFinished];[])
PullUpField(com.appboy.ui.inappmessage.views.AppboyInAppMessageWebView;android.webkit.WebView;[string];[];[])
PushDownMethod(com.api.ng.sample.ApiNG;Class_7;[];[onCreate];[])
EncapsulateField(com.api.ng.sample.R.attr.drawable.id.layout.menu;;[activity_api_ng];[];[])
PullUpField(com.artemzin.android.wail.ui.TypefaceTextView;android.widget.TextView;[mTypefaces];[];[])
PullUpMethod(com.artemzin.android.wail.ui.TypefaceTextView;android.widget.TextView;[];[setTypefaceFromAssets];[])
ExtractSubClass(com.betfair.aping.util.ISO8601DateTypeAdapter;Class_8;[dateFormat];[deserialize];[])
ExtractSubClass(com.betfair.api.ng.client.Operations;Class_9;[];[listEventTypes|listTimeRanges|placeOrders];[])
PullUpField(com.betfair.aping.api.ApiNgRescriptOperations;com.betfair.aping.enums.ApiNgOperations;[instance];[];[])
ExtractSubClass(Class_6;Class_10;[];[];[])
ExtractSuperClass(com.betfair.aping.ApiNGJsonRpcDemo;Class_11;[sessionToken];[getPrice|printMarketCatalogue];[])
MoveMethod(com.betfair.aping.ApiNGDemo;com.betfair.aping.api.ApiNgRescriptOperations;[];[getProp];[])
MoveField(com.betfair.api.ng.objects.ExchangePrices;com.betfair.aping.enums.OrderBy;[availableToLay];[];[])
ExtractSuperClass(com.betfair.api.ng.objects.Order;Class_12;[avgPriceMatched|price|side|sizeMatched|sizeRemaining|sizeVoided];[equals|getSize|getSizeMatched|getSizeVoided|setSide|setSize|setSizeRemaining];[])
PushDownField(com.betfair.aping.containers.Container;com.betfair.aping.containers.ListMarketCatalogueContainer;[jsonrpc];[];[])
PullUpMethod(com.betfair.api.ng.client.Requester.Call;com.betfair.api.ng.json.Constants.AsyncTask;[];[doInBackground];[])
PullUpMethod(com.betfair.api.ng.client.Operations;com.betfair.api.ng.client.Requester;[];[listMarketCatalogue];[])
IncreaseFieldSecurity(android.widget.TextView;;[mTypefaces];[];[])
ExtractClass(com.api.ng.sample.R.attr.drawable.id.layout.menu;Class_13;[];[getActivity_api_ng];[])
ExtractClass(com.betfair.api.ng.client.Requester;Class_14;[];[makeRequest];[])
PullUpField(com.betfair.aping.exceptions.APINGException;java.lang.Throwable;[errorCode];[];[])
MoveField(com.betfair.aping.containers.PlaceOrdersContainer;Class_5;[result];[];[])
ExtractSubClass(com.betfair.aping.exceptions.APINGException;Class_15;[];[toString];[])
ExtractSuperClass(com.betfair.aping.ApiNGDemo;Class_16;[jsonOrRescript];[isDebug];[])
ExtractClass(com.betfair.aping.exceptions.APINGException;Class_17;[];[setErrorDetails];[])
ExtractSubClass(com.betfair.aping.util.JsonrpcRequest;Class_18;[id];[setMethod];[])
EncapsulateField(com.api.ng.sample.BuildConfig;;[DEBUG];[];[])
PushDownField(com.betfair.aping.containers.Container;com.betfair.aping.containers.EventTypeResultContainer;[error];[];[])
MoveField(com.betfair.aping.containers.ListMarketCatalogueContainer;com.betfair.api.ng.json.Constants.AsyncTask;[jsonrpc];[];[])
PullUpField(com.betfair.aping.containers.ListMarketBooksContainer;com.betfair.aping.containers.Container;[result];[];[])
ExtractSubClass(com.betfair.aping.ApiNGDemo;Class_19;[debug|sessionToken];[];[])
MoveField(com.betfair.aping.api.ApiNgOperations;android.webkit.WebView;[MARKET_IDS];[];[])
IncreaseMethodSecurity(com.betfair.aping.containers.PlaceOrdersContainer;;[];[setResult];[])
MoveField(java.lang.Throwable;com.artemzin.android.wail.ui.TypefaceTextView;[errorCode];[];[])
ExtractSubClass(com.api.ng.sample.BuildConfig;Class_20;[];[setDEBUG];[])
MoveField(com.api.ng.sample.R.attr.drawable.id.layout;com.betfair.aping.entities.PlaceInstruction;[activity_api_ng];[];[])
MoveMethod(com.betfair.aping.util.JsonrpcRequest;com.api.ng.sample.R.attr.drawable.id.layout.menu.string;[];[setParams];[])
DecreaseFieldSecurity(com.betfair.api.ng.objects.PlaceInstruction;;[marketOnCloseOrder];[];[])
DecreaseFieldSecurity(com.betfair.aping.containers.PlaceOrdersContainer;;[class_5];[];[])
ExtractSubClass(com.betfair.aping.entities.MarketCatalogue;Class_21;[description|event];[getDescription|getMarketId|getMarketName|setCompetition|setMarketName|setRunners];[])
PushDownMethod(com.betfair.api.ng.client.Requester;com.betfair.api.ng.client.Operations;[];[makeRequest];[])
PullUpField(community_detection.MaxHeap;java.lang.Object;[heapSize];[];[])
ExtractSubClass(com.api.ng.sample.R.attr.drawable.id.layout;Class_22;[];[setActivity_api_ng];[])
ExtractSuperClass(com.api.ng.sample.R.attr.drawable.id.layout.menu.string;Class_23;[hello_world];[];[])
ExtractSuperClass(com.betfair.aping.util.JsonrpcRequest;Class_24;[params];[];[])
ExtractSuperClass(com.betfair.aping.entities.ExBestOfferOverRides;Class_25;[rollupLiabilityFactor];[getRollupLiabilityFactor|getRollupLimit|setRollupLimit|setRollupModel];[])
ExtractClass(com.betfair.aping.exceptions.APINGException;Class_26;[];[setErrorDetails];[])
MoveMethod(com.betfair.aping.api.ApiNgRescriptOperations;com.betfair.api.ng.json.JsonrpcRequest;[];[listMarketBook];[])
ExtractSuperClass(com.betfair.api.ng.objects.MarketCatalogue;Class_27;[event|marketId];[getCompetition|getDescription|getMarketId|getRunners|hashCode|setCompetition|setEvent|setMarketId];[])
PullUpMethod(com.betfair.aping.api.ApiNgRescriptOperations;com.betfair.aping.enums.ApiNgOperations;[];[listMarketBook];[])
IncreaseMethodSecurity(com.betfair.api.ng.json.JsonResponseHandler;;[];[handleResponse];[])
DecreaseFieldSecurity(com.betfair.aping.ApiNGJRescriptDemo;;[sessionToken];[];[])
ExtractSuperClass(com.betfair.api.ng.objects.EventType;Class_28;[name];[setId|setName];[])
