ExtractSuperClass(org.reactome.psicquic.service.Service;Class_1;[name];[setName];[])
MoveField(com.owncloud.android.lib.common.http.TLSSocketFactory;org.carion.s3.operations.BucketGET.Handler;[mInternalSSLSocketFactory];[];[])
PullUpMethod(org.carion.s3.admin.AdminServer;org.carion.s3.http.HttpServer;[];[writeFolder];[])
ExtractSubClass(org.badiff.imp.MemoryDiff.MemoryOpQueue;Class_2;[];[toString];[])
PushDownField(org.carion.s3.util.BaseXmlParser;org.carion.s3.operations.S3ResponseParser.ErrorHandler;[_data];[];[])
PullUpMethod(com.owncloud.android.lib.common.http.TLSSocketFactory;javax.net.ssl.SSLSocketFactory;[];[enableTLSOnSocket];[])
MoveMethod(org.carion.s3.operations.S3Request.S3RequestMethods;com.squareup.picasso.Downloader.ResponseException;[];[setContent];[])
PullUpField(com.twitter.intellij.pants.bsp.InvalidTargetException;java.lang.Throwable;[myMessage];[];[])
MoveMethod(ch.powerunit.rules.impl.NullOutputStream;com.github.kevinsawicki.http.HttpRequest.ConnectionFactory.Base64.HttpRequestException.Operation.CloseOperation.FlushOperation.RequestOutputStream;[];[write];[])
ExtractSuperClass(org.reactome.psicquic.CustomizedPSIQUICRegistry;Class_3;[nameToTime|registry];[cleanRegistry];[])
DecreaseFieldSecurity(org.carion.s3.impl.S3UploadImpl.UploadTask;;[_log];[];[])
MoveMethod(com.squareup.picasso.Downloader.ResponseException;org.carion.s3.admin.AdminServer;[];[setContent];[])
PullUpField(org.reactome.restfulapi.models.OpenSet;org.reactome.restfulapi.models.EntitySet;[referenceEntity];[];[])
PullUpField(com.redhat.lightblue.rest.audit.LightblueAuditServletFilterTest.TeeInMemoryStringPrintStream;java.io.PrintStream;[inMemoryConsole];[];[])
ExtractSuperClass(org.carion.s3.operations.S3ResponseParser;Class_4;[];[parseError];[])
ExtractClass(org.carion.s3.util.NullInputStream;Class_5;[_contentLength];[read];[])
MoveMethod(com.owncloud.android.lib.common.http.TLSSocketFactory;org.xml.sax.helpers.DefaultHandler;[];[createSocket];[])
IncreaseMethodSecurity(ch.powerunit.rules.impl.NullOutputStream;;[];[write];[])
ExtractSuperClass(org.carion.s3.operations.S3ErrorImpl;Class_6;[_requestId];[getRequestId|getResource];[])
MoveMethod(org.reactome.psicquic.model.MethodType;org.reactome.psicquic.CustomizedInteractionService.LocalInteractionQuerier.PSIMITabInteractionQuerier.ProteinProteinInteractionQuerier.GeneGeneInteractionQuerier;[];[getId];[])
PushDownMethod(org.badiff.q.OpQueue;org.badiff.fmt.GdiffFormat.GdiffOpQueue;[];[apply];[])
PullUpMethod(com.google.authenticator.blackberry.BufferedReader;java.io.Reader;[];[read];[])
PullUpField(org.carion.s3.admin.AdminServer;org.carion.s3.http.HttpServer;[_logWriter];[];[])
