ExtractSuperClass(java.time.calendrical.WeekDefinition.ComputedDayOfField;Class_1;[range];[doGet|doRange|getName|ofDayOfWeekField];[])
PullUpMethod(java.time.Clock.SystemClock;java.time.Clock;[];[toString];[])
ExtractClass(java.time.calendrical.ISOWeeks.Field.Unit.Between;Class_2;[amount];[doPlusAdjustment|getUnit];[])
ExtractSuperClass(java.time.calendrical.DateTimeAdjusters.Impl;Class_3;[];[doWithAdjustment];[])
IncreaseMethodSecurity(java.time.jdk8.DefaultInterfaceChronoZonedDateTime;;[];[getTime];[])
ExtractSuperClass(java.time.calendrical.DateTimeAdjusters.Impl.DayOfWeekInMonth;Class_4;[dowValue];[previousOrSame];[])
MoveField(java.time.calendrical.ChronoUnit.Between;java.time.calendrical.DateTimeAdjusters.Impl.DayOfWeekInMonth.RelativeDayOfWeek;[amount];[];[])
ExtractSubClass(java.time.Clock.SystemClock.FixedClock.OffsetClock;Class_5;[serialVersionUID];[];[])
ExtractSuperClass(java.time.calendrical.DateTimeAdjusters.Impl;Class_6;[];[dayOfWeekInMonth|lastInMonth];[])
ExtractClass(java.time.calendrical.ChronoUnit.Between;Class_7;[unit];[hashCode];[])
ExtractSuperClass(java.time.calendrical.ISOWeeks.Field.Unit.Between;Class_8;[];[getAmount|toString];[])
IncreaseMethodSecurity(java.time.Clock.SystemClock.FixedClock.OffsetClock;;[];[equals];[])
DecreaseFieldSecurity(com.concurrentperformance.constructorOrder.Sub;;[date];[];[])
DecreaseFieldSecurity(java.time.Clock.SystemClock.FixedClock.OffsetClock.TickClock;;[tickNanos];[];[])
ExtractClass(java.time.calendrical.DateTimeAdjusters.Impl.DayOfWeekInMonth;Class_9;[];[doWithAdjustment|previous];[])
PullUpField(java.time.Clock.SystemClock;java.time.Clock;[zone];[];[])
ExtractSuperClass(com.google.gwt.user.client.rpc.core.java.time.LocalDate_CustomFieldSerializer;Class_10;[];[instantiate];[])
ExtractClass(java.time.Clock.SystemClock.FixedClock.OffsetClock.TickClock;Class_11;[serialVersionUID];[];[])
PullUpMethod(java.time.chrono.ISOChrono;java.time.chrono.Chrono;[];[localDateTime];[])
DecreaseFieldSecurity(Class_5;;[serialVersionUID];[];[])
PullUpField(java.time.Clock.SystemClock.FixedClock.OffsetClock;java.time.Clock;[offset];[];[])
IncreaseMethodSecurity(java.time.LocalDateTime;;[];[range];[])
IncreaseMethodSecurity(java.time.Clock.SystemClock.FixedClock;;[];[instant];[])
MoveField(java.time.Clock.SystemClock.FixedClock.OffsetClock;java.time.calendrical.DateTimeAdjusters.Impl.DayOfWeekInMonth.RelativeDayOfWeek;[baseClock];[];[])
ExtractClass(java.time.ZoneOffset.ZoneOffsetRules;Class_12;[];[getOffset|getValidOffsets];[])
PullUpField(java.time.Clock.SystemClock.FixedClock.OffsetClock;java.time.Clock;[relativedayofweek];[];[])
ExtractClass(java.time.Clock.SystemClock;Class_13;[];[hashCode];[])
ExtractSuperClass(java.time.calendrical.DateTimeAdjusters.Impl.DayOfWeekInMonth.RelativeDayOfWeek;Class_14;[dowValue];[setBaseClock];[])
PushDownField(java.time.Clock;java.time.Clock.SystemClock.FixedClock;[relativedayofweek];[];[])
ExtractClass(java.time.calendrical.ChronoUnit.Between;Class_15;[];[doMinusAdjustment|toString];[])
IncreaseMethodSecurity(java.time.calendrical.DateTimeAdjusters.Impl.DayOfWeekInMonth.RelativeDayOfWeek;;[];[getBaseClock];[])
ExtractSubClass(Class_6;Class_16;[];[];[])
ExtractClass(com.concurrentperformance.constructorOrder.Sub;Class_17;[];[main];[])
PushDownMethod(java.time.Clock;java.time.Clock.SystemClock.FixedClock.OffsetClock;[];[fixed];[])
ExtractSuperClass(java.time.calendrical.DateTimeAdjusters.Impl.DayOfWeekInMonth;Class_18;[];[next];[])
ExtractSuperClass(java.time.calendrical.ChronoField;Class_19;[baseUnit];[compare|doIsSupported|isDateField|toString];[])
ExtractClass(java.time.format.DateTimeParseException;Class_20;[];[getParsedString];[])
MoveField(java.time.calendrical.WeekDefinition.ComputedDayOfField;java.time.Clock.SystemClock;[baseUnit];[];[])
ExtractClass(java.time.calendrical.DateTimeAdjusters.Impl.DayOfWeekInMonth;Class_21;[];[];[])
MoveMethod(java.time.calendrical.ISOWeeks.Field;java.time.calendrical.DateTimeAdjusters.Impl.DayOfWeekInMonth.RelativeDayOfWeek;[];[getName];[])
ExtractSubClass(java.time.YearMonth;Class_22;[serialVersionUID];[from|getLong|getMonth|hashCode|isBefore|toString];[])
IncreaseMethodSecurity(java.time.calendrical.ISOWeeks.Field;;[];[doRange];[])
PushDownField(java.time.DateTimeException;java.time.format.DateTimeParseException;[serialVersionUID];[];[])
ExtractSuperClass(java.time.calendrical.DateTimeAdjusters.Impl.DayOfWeekInMonth.RelativeDayOfWeek;Class_23;[];[getName];[])
EncapsulateField(java.time.Duration;;[ZERO];[];[])
ExtractSubClass(java.time.jdk8.Jdk8Methods;Class_24;[];[floorDiv|safeAdd|safeMultiply|safeSubtract];[])
ExtractSuperClass(java.time.calendrical.ISOWeeks.Field;Class_25;[];[getBaseUnit|getRangeUnit];[])
ExtractSubClass(java.time.format.DateTimeParseException;Class_26;[];[];[])
DecreaseMethodSecurity(com.concurrentperformance.constructorOrder.Super;;[];[overrideMe];[])
ExtractSuperClass(Class_19;Class_27;[];[];[])
MoveMethod(java.time.calendrical.ISOWeeks.Field.Unit;java.time.calendrical.ISOWeeks.Field.Unit.Between;[];[getName];[])
ExtractClass(java.time.Clock.SystemClock.FixedClock.OffsetClock.TickClock;Class_28;[];[hashCode];[])
ExtractClass(java.time.Clock.SystemClock.FixedClock.OffsetClock;Class_29;[];[hashCode];[])
ExtractSubClass(java.time.Clock.SystemClock.FixedClock.OffsetClock.TickClock;Class_30;[tickNanos];[equals];[])
ExtractSuperClass(java.time.calendrical.ChronoUnit.Between;Class_31;[];[doPlusAdjustment|hashCode];[])
ExtractClass(com.concurrentperformance.constructorOrder.Sub;Class_32;[];[main];[])
MoveMethod(java.time.calendrical.ChronoUnit.Between;com.google.gwt.user.client.rpc.core.java.time.LocalDate_CustomFieldSerializer;[];[equals];[])
DecreaseFieldSecurity(java.time.calendrical.ChronoUnit.Between;;[localdate_customfieldserializer];[];[])
MoveField(java.time.calendrical.WeekDefinition.ComputedDayOfField;java.lang.Object;[weekDef];[];[])
ExtractSuperClass(Class_15;Class_33;[];[];[])
ExtractClass(java.time.Clock.SystemClock.FixedClock;Class_34;[];[];[])
IncreaseFieldSecurity(java.time.calendrical.ChronoUnit.Between;;[localdate_customfieldserializer];[];[])
MoveField(java.time.Clock.SystemClock;java.time.calendrical.ISOWeeks.Field;[baseUnit];[];[])
IncreaseFieldSecurity(java.time.Clock.SystemClock;;[field];[];[])
ExtractSuperClass(Class_1;Class_35;[];[];[])
ExtractSubClass(java.time.Clock.SystemClock.FixedClock.OffsetClock;Class_36;[];[equals|hashCode];[])
PushDownField(java.time.Clock;java.time.Clock.SystemClock.FixedClock.OffsetClock;[offset];[];[])
PullUpField(java.time.LocalTime;java.time.jdk8.DefaultInterfaceDateTimeAccessor;[MINUTES_PER_DAY];[];[])
IncreaseMethodSecurity(java.time.calendrical.WeekDefinition.ComputedDayOfField;;[];[getBaseUnit];[])
ExtractClass(java.time.calendrical.DateTimeAdjusters;Class_37;[];[firstDayOfNextYear|firstDayOfYear];[])
ExtractSuperClass(java.time.calendrical.ChronoUnit;Class_38;[duration];[getName|isDateUnit];[])
ExtractSuperClass(java.time.calendrical.WeekDefinition;Class_39;[serialVersionUID|weekOfYear];[dayOfWeek|getMinimalDaysInFirstWeek|hashCode|of|toString];[])
MoveField(java.time.OffsetDate;Class_21;[serialVersionUID];[];[])
ExtractSubClass(java.time.calendrical.ISOWeeks.Field.Unit;Class_40;[];[between];[])
DecreaseFieldSecurity(java.time.MonthDay;;[day];[];[])
ExtractSuperClass(java.time.jdk8.Jdk8Methods;Class_41;[];[safeToInt];[])
ExtractSuperClass(java.time.calendrical.WeekDefinition.ComputedDayOfField;Class_42;[DAY_OF_WEEK_RANGE|WEEK_OF_YEAR_RANGE];[ofWeekOfMonthField|ofWeekOfYearField|toString];[])
IncreaseFieldSecurity(java.time.Clock.SystemClock.FixedClock.OffsetClock;;[offset];[];[])
ExtractSubClass(java.time.calendrical.ISOWeeks.Field.Unit.Between;Class_43;[];[hashCode];[])
DecreaseFieldSecurity(com.szas.sync.WrongObjectThrowable;;[serialVersionUID];[];[])
ExtractClass(java.time.Clock.SystemClock.FixedClock.OffsetClock.TickClock;Class_44;[];[];[])
PushDownMethod(java.time.Clock;java.time.Clock.SystemClock.FixedClock.OffsetClock;[];[tick];[])
MoveMethod(java.time.OffsetTime;java.time.jdk8.Jdk8Methods;[];[now];[])
ExtractSuperClass(Class_8;Class_45;[];[];[])
PullUpField(com.szas.sync.WrongObjectThrowable;java.lang.Throwable;[serialVersionUID];[];[])
IncreaseFieldSecurity(java.lang.Throwable;;[serialVersionUID];[];[])
MoveMethod(java.time.calendrical.ChronoUnit;Class_44;[];[between];[])
MoveField(java.time.calendrical.ISOWeeks.Field;Class_9;[baseUnit];[];[])
ExtractSubClass(com.google.gwt.user.client.rpc.core.java.time.LocalDate_CustomFieldSerializer;Class_46;[];[equals];[])
ExtractClass(Class_7;Class_47;[];[];[])
DecreaseFieldSecurity(java.time.calendrical.ISOWeeks.Field.Unit;;[between];[];[])
ExtractSubClass(Class_39;Class_48;[];[];[])
PullUpField(com.concurrentperformance.constructorOrder.Sub;com.concurrentperformance.constructorOrder.Super;[class_17];[];[])
ExtractSubClass(Class_38;Class_49;[];[];[])
IncreaseMethodSecurity(java.time.calendrical.ISOWeeks.Field.Unit.Between;;[];[equals];[])
ExtractSubClass(java.time.calendrical.DateTimeAdjusters.Impl.DayOfWeekInMonth;Class_50;[ordinal];[];[])
IncreaseMethodSecurity(Class_9;;[];[getBaseUnit];[])
ExtractSubClass(Class_15;Class_51;[];[doMinusAdjustment];[])
ExtractClass(java.lang.Object;Class_52;[];[getWeekDef];[])
PullUpField(java.time.Clock.SystemClock;java.time.Clock;[field];[];[])
PushDownMethod(java.time.Clock;java.time.Clock.SystemClock;[];[systemDefaultZone];[])
PushDownMethod(Class_19;java.time.calendrical.ChronoField;[];[compare];[])
ExtractSuperClass(java.time.Period;Class_53;[days|nanos|serialVersionUID];[getHours|getMinutes|getNanos|minusMinutes|minusMonths|normalizedHoursToDays|toDateOnly|withTimeNanos];[])
MoveMethod(java.time.Clock.SystemClock.FixedClock.OffsetClock;Class_28;[];[fixed];[])
PullUpMethod(java.time.chrono.ISOChrono;java.time.chrono.Chrono;[];[dateNow];[])
DecreaseFieldSecurity(com.concurrentperformance.constructorOrder.Super;;[class_17];[];[])
PushDownField(java.time.Clock;java.time.Clock.SystemClock.FixedClock;[zone];[];[])
ExtractClass(java.time.Clock.SystemClock;Class_54;[serialVersionUID];[setBaseUnit|systemDefaultZone];[])
MoveMethod(Class_54;Class_25;[];[setSerialVersionUID];[])
MoveMethod(Class_13;com.concurrentperformance.constructorOrder.Super;[];[hashCode];[])
MoveMethod(java.time.ZonedDateTime;Class_52;[];[withHour];[])
DecreaseFieldSecurity(Class_11;;[serialVersionUID];[];[])
IncreaseMethodSecurity(java.time.calendrical.ChronoUnit.Between;;[];[getUnit];[])
IncreaseMethodSecurity(java.time.calendrical.ISOWeeks.Field;;[];[doWith];[])
IncreaseMethodSecurity(java.time.calendrical.DateTimeAdjusters.Impl;;[];[firstInMonth];[])
ExtractClass(java.time.calendrical.ISOWeeks.Field;Class_55;[class_9];[doIsSupported|doRange|doRange|doWith|getName|getWeekBasedYear|range|resolve];[])
EncapsulateField(java.time.calendrical.ISOWeeks.Field.Unit;;[between];[];[])
IncreaseFieldSecurity(Class_55;;[class_9];[];[])
MoveMethod(Class_44;com.szas.sync.WrongObjectThrowable;[];[between];[])
IncreaseMethodSecurity(Class_6;;[];[dayOfWeekInMonth];[])
IncreaseMethodSecurity(Class_51;;[];[doMinusAdjustment];[])
MoveMethod(Class_44;com.google.gwt.user.client.rpc.core.java.time.LocalDate_CustomFieldSerializer;[];[between];[])
ExtractSubClass(Class_2;Class_56;[];[getAmount|getUnit];[])
ExtractSuperClass(Class_38;Class_57;[];[getName];[])
ExtractSubClass(java.time.calendrical.ISOWeeks.Field;Class_58;[class_55];[];[])
IncreaseMethodSecurity(Class_10;;[];[instantiate];[])
IncreaseMethodSecurity(Class_3;;[];[doWithAdjustment];[])
IncreaseMethodSecurity(Class_6;;[];[lastInMonth];[])
PushDownField(java.time.Clock;java.time.Clock.SystemClock.FixedClock;[field];[];[])
PullUpMethod(com.google.gwt.user.client.rpc.core.java.time.LocalDate_CustomFieldSerializer;Class_10;[];[serialize];[])
PushDownField(java.lang.Throwable;com.szas.sync.WrongObjectThrowable;[serialVersionUID];[];[])
