ExtractClass(org.graylog2.syslog4j.impl.message.AbstractSyslogMessage;Class_1;[DEFAULT_DATE_FORMAT|DEFAULT_DELIMITER|UNDEFINED];[nullOrEmpty];[])
PullUpMethod(org.graylog2.syslog4j.server.impl.net.tcp.ssl.SSLTCPNetSyslogServer;org.graylog2.syslog4j.server.impl.net.tcp.TCPNetSyslogServer;[];[getServerSocketFactory];[])
DecreaseFieldSecurity(org.graylog2.syslog4j.server.impl.net.udp.UDPNetSyslogServerConfig;;[maxMessageSize];[];[])
IncreaseMethodSecurity(org.graylog2.syslog4j.server.impl.net.udp.UDPNetSyslogServer;;[];[shutdown];[])
PushDownField(org.graylog2.syslog4j.impl.backlog.AbstractSyslogBackLogHandler;org.graylog2.syslog4j.impl.backlog.log4j.Log4jSyslogBackLogHandler;[appendReason];[];[])
ExtractSuperClass(org.graylog2.syslog4j.impl.message.modifier.text.SuffixSyslogMessageModifier;Class_2;[serialVersionUID];[modify];[])
MoveField(org.graylog2.syslog4j.server.impl.event.FortiGateSyslogEvent;org.graylog2.syslog4j.impl.net.tcp.TCPNetSyslogWriter;[KV_PATTERN];[];[])
ExtractSuperClass(org.graylog2.syslog4j.server.impl.net.AbstractNetSyslogServerConfig;Class_3;[port];[getPort];[])
PullUpField(org.graylog2.syslog4j.impl.unix.socket.UnixSocketSyslog;org.graylog2.syslog4j.impl.AbstractSyslog;[serialVersionUID];[];[])
PullUpMethod(org.graylog2.syslog4j.server.impl.net.udp.UDPNetSyslogServerConfig;org.graylog2.syslog4j.server.impl.net.AbstractNetSyslogServerConfig;[];[getSyslogServerClass];[])
IncreaseMethodSecurity(org.graylog2.syslog4j.impl.backlog.printstream.PrintStreamSyslogBackLogHandler;;[];[initialize];[])
PullUpMethod(org.graylog2.syslog4j.impl.unix.socket.UnixSocketSyslogConfig;org.graylog2.syslog4j.impl.AbstractSyslogConfig;[];[setType];[])
MoveField(org.graylog2.syslog4j.impl.log4j.Syslog4jAppenderSkeleton;org.graylog2.syslog4j.server.impl.net.tcp.TCPNetSyslogServer.TCPNetSyslogSocketHandler;[localName];[];[])
ExtractSuperClass(org.graylog2.syslog4j.impl.message.modifier.escape.HTMLEntityEscapeSyslogMessageModifier;Class_4;[];[modify|verify];[])
ExtractSuperClass(org.graylog2.syslog4j.impl.pool.AbstractSyslogPoolFactory;Class_5;[pool|syslog];[borrowSyslogWriter|close|makeObject|returnSyslogWriter];[])
IncreaseFieldSecurity(org.graylog2.syslog4j.impl.message.modifier.hash.HashSyslogMessageModifierConfig;;[hashAlgorithm];[];[])
IncreaseFieldSecurity(org.graylog2.syslog4j.impl.message.processor.structured.StructuredSyslogMessageProcessor;;[VERSION];[];[])
MoveMethod(org.graylog2.syslog4j.impl.net.tcp.pool.PooledTCPNetSyslogConfig;org.graylog2.syslog4j.impl.message.pci.PCISyslogMessage;[];[setMaxWait];[])
PushDownMethod(org.graylog2.syslog4j.impl.net.tcp.TCPNetSyslogConfig;org.graylog2.syslog4j.impl.net.tcp.ssl.SSLTCPNetSyslogConfig;[];[setPersistentConnection];[])
DecreaseFieldSecurity(Class_2;;[serialVersionUID];[];[])
DecreaseFieldSecurity(ru.isa.ai.tests.mipt.inet.EchoMultiServerThread;;[socket];[];[])
IncreaseMethodSecurity(org.graylog2.syslog4j.server.impl.net.tcp.ssl.SSLTCPNetSyslogServer;;[];[initialize];[])
MoveMethod(org.graylog2.syslog4j.impl.net.tcp.ssl.pool.PooledSSLTCPNetSyslogConfig;org.graylog2.syslog4j.impl.pool.generic.GenericSyslogPoolFactory;[];[setTrustStorePassword];[])
MoveMethod(org.graylog2.syslog4j.impl.log4j.Syslog4jAppenderSkeleton;org.graylog2.syslog4j.server.impl.net.AbstractNetSyslogServerConfig;[];[setPort];[])
