ExtractSubClass(com.github.dcevm.test.fields.StaticFieldHandleTest.A.A___1.A___2.A___3;Class_1;[fieldA];[setUp|testStaticFieldTypeChange];[])
PullUpMethod(com.github.dcevm.test.body.FibTest.Base.Fib.Fib___1;com.github.dcevm.test.body.Base;[];[calc];[])
PullUpField(com.github.dcevm.test.body.MultipleThreadsTest.A;java.lang.Thread;[flag];[];[])
DecreaseFieldSecurity(usb.remote.HostProxy.MappingPurger.BusProxy.DeviceSPIProxy.DeviceProxy;;[hubPortNum];[];[])
IncreaseMethodSecurity(com.github.dcevm.test.body.StaticTest.Helper;;[];[getAdditionalField];[])
ExtractSuperClass(com.github.dcevm.test.transformer.StaticConstructorTransformerTest.Static_TestClass.Static_TestClass___1;Class_2;[];[$transformer];[])
DecreaseFieldSecurity(com.github.dcevm.test.body.EMCPTest.A.B.C.D.A___1.B___1.C___1.D___1.D___2.D___3;;[value];[];[])
PullUpMethod(com.github.dcevm.test.structural.LargeHierarchyTest.A.B;com.github.dcevm.test.structural.A;[];[value];[])
PullUpMethod(usb.core.Descriptor.GenericDescriptor;usb.core.Descriptor;[];[getOffset];[])
PushDownField(usb.core.Device;usb.linux.DeviceImpl;[spi];[];[])
ExtractSubClass(com.github.dcevm.test.fields.YieldTest.Base;Class_3;[];[reset];[])
MoveField(com.github.dcevm.test.eval.FractionTest.NoChange;com.github.dcevm.test.body.Fib;[o1];[];[])
IncreaseMethodSecurity(com.github.dcevm.test.body.EMCPTest.A.B.C.D.A___1;;[];[EMCPReturn];[])
ExtractSubClass(com.github.dcevm.test.fields.FieldChangedOrderTest.A.B.A___1.B___1.A___2.A___3;Class_4;[value2];[getValue1|setUp];[])
ExtractClass(com.github.dcevm.test.eval.AddingInterfaceTest.A.I.A___1.Proxy;Class_5;[];[getValue];[])
MoveMethod(com.github.dcevm.test.structural.TypeNarrowingMethodTest3.A;com.github.dcevm.test.fields.YieldTest.Base.A.B.B___10;[];[badMethod];[])
MoveMethod(com.github.dcevm.test.transformer.StaticTransformerTest.A.A___1;com.github.dcevm.test.body.StaticTest.Helper.A.B.C.D.A___1.B___2.A___3;[];[$staticTransformer];[])
ExtractSuperClass(com.github.dcevm.installer.InstallUninstallAction.Type;Class_6;[label];[update|valueChanged];[])
ExtractClass(com.github.dcevm.test.structural.LargeHierarchyTest.A.B.C.D.E.F.A___1.D___2.D___3.E___3.C___4.D___4.E___4.F___4.F___5;Class_7;[];[testChangeBaseClass];[])
MoveField(com.github.dcevm.TestClassAdapter.SingleByteAttribute;Class_6;[value];[];[])
MoveField(com.github.dcevm.test.fields.InstanceFieldHandleTest.A.A___1.A___2.A___3;com.github.dcevm.test.structural.HierarchySwapTest.A.B.C.Base.D.E;[fieldB];[];[])
PullUpField(usb.core.Endpoint.BulkInputStream.BulkOutputStream;java.io.OutputStream;[spi];[];[])
EncapsulateField(com.github.dcevm.test.eval.FractionTest.NoChange.Change.Change___1.Change___2.Change___3;;[o2];[];[])
PullUpMethod(buoy.xml.IconResource;javax.swing.ImageIcon;[];[getResourceName];[])
IncreaseMethodSecurity(com.github.dcevm.test.structural.LargeHierarchyTest.A.B.C.D;;[];[value];[])
IncreaseFieldSecurity(com.github.dcevm.test.fields.FieldModificationTest.A.A___1.A___2;;[val14];[];[])
ExtractClass(com.github.dcevm.test.transformer.BaseClassTransformerTest.A.A___1;Class_8;[];[setUp];[])
IncreaseFieldSecurity(com.github.dcevm.test.structural.LargeHierarchyTest.A.B.C.D.E.F.A___1.D___2.D___3.E___3.C___4.D___4.E___4.F___4.F___5;;[class_7];[];[])
PullUpField(usb.core.Hub;usb.core.Descriptor;[C_PORT_CONNECTION];[];[])
PushDownMethod(com.github.dcevm.test.body.Base;com.github.dcevm.test.body.FibTest.Base.Fib.Fib___1;[];[calc];[])
MoveField(com.github.dcevm.test.transformer.StaticTransformerTest.A.A___1;com.github.dcevm.test.body.ArrayTest.A.A___1.B;[x];[];[])
ExtractClass(com.github.dcevm.test.natives.SimpleNativeTest.A.A___1;Class_9;[];[value];[])
PullUpField(com.github.dcevm.test.transformer.StaticConstructorTransformerTest.Static_TestClass.Static_TestClass___1;Class_2;[version];[];[])
MoveField(com.github.dcevm.test.fields.ComplexFieldTest.A;com.github.dcevm.test.eval.AddingInterfaceTest.A.I.A___1.Proxy;[byteFld];[];[])
MoveField(com.github.dcevm.test.structural.TypeNarrowingMethodTest3.A;com.betfair.tornjak.monitor.DummyStatusChangeListener;[b___10];[];[])
ExtractSubClass(com.github.dcevm.test.structural.TypeNarrowingMethodTest3.A;Class_10;[dummystatuschangelistener|y];[badMethod];[])
ExtractSuperClass(com.github.dcevm.test.fields.AccessDeletedFieldTest.A.B.A___1.B___2;Class_11;[];[run];[])
ExtractSuperClass(com.github.dcevm.test.body.StaticTest.Helper.A.B.C.D.A___1.B___2.A___3.B___3.C___4.Helper___5.D___5.E.E___6;Class_12;[eClassArr|eClassNull];[testBase|testStaticField];[])
PushDownField(java.lang.Thread;com.github.dcevm.test.body.MultipleThreadsTest.A;[flag];[];[])
ExtractSuperClass(com.github.dcevm.test.methods.DeleteActiveMethodTest.A.B.A___1.B___1;Class_13;[];[testDeleteActiveMethodSimple];[])
ExtractSuperClass(com.github.dcevm.test.body.SimpleStaticTest.Helper;Class_14;[];[getFinalIntegerField];[])
ExtractSuperClass(com.github.dcevm.test.fields.InstanceFieldHandleTest.A.A___1.A___2.A___3;Class_15;[e];[setFieldB|setUp|testFieldRemoved];[])
PushDownMethod(Class_14;com.github.dcevm.test.body.SimpleStaticTest.Helper;[];[getFinalIntegerField];[])
PushDownMethod(usb.core.Device;usb.linux.DeviceImpl;[];[getPortIdentifier];[])
IncreaseFieldSecurity(com.github.dcevm.test.methods.AnnotationTest.A;;[testField];[];[])
MoveField(com.github.dcevm.test.structural.TypeNarrowingHeapTest.A.C;com.github.dcevm.test.fields.RedefinePrivateFieldTest.A.A___1;[a];[];[])
MoveMethod(com.github.dcevm.test.structural.TypeNarrowingMethodTest3.A.B.B___1.A___2;com.github.dcevm.test.structural.AnonymousClassInMethodTest;[];[value];[])
ExtractClass(com.github.dcevm.test.structural.HierarchySwapTest.A.B.C.Base.D.E.F.A___1.B___1.C___1.D___2.E___2.F___2.D___3.E___3.F___3;Class_16;[];[superClassName];[])
ExtractSubClass(com.github.dcevm.test.methods.OldCodeNonOSRTest.A;Class_17;[];[deletedMethod];[])
MoveField(com.github.dcevm.test.fields.FieldChangedOrderTest.A.B.A___1;com.github.dcevm.test.structural.RedefineObjectClassTest.Helper;[value2];[];[])
MoveMethod(com.github.dcevm.test.methods.SingleClassTest.A;com.github.dcevm.test.structural.HierarchySwapTest.A.B.C.Base.D.E.F.A___1.B___1.C___1.D___2.E___2.F___2.D___3;[];[value];[])
PullUpMethod(default.TuioDemoComponent;javax.swing.JComponent;[];[update];[])
ExtractSuperClass(com.github.dcevm.test.fields.FieldChangedOrderTest.A;Class_18;[value1];[getValue2];[])
IncreaseMethodSecurity(com.github.dcevm.test.methods.CallDeletedInterfaceMethodTest.I.A;;[];[foo];[])
MoveField(usb.macosx.DeviceImpl;com.github.dcevm.test.methods.OverrideMethodTest.A.B;[hubPortNum];[];[])
ExtractSuperClass(com.github.dcevm.HotSwapTool.IsClassFile;Class_19;[];[accept|isInnerClass|setCurrentVersion|stripVersion];[])
MoveMethod(com.github.dcevm.test.fields.ComplexFieldTest.A.A___1;com.github.dcevm.test.structural.TypeNarrowingMethodTest3.A.B.B___1.A___2;[];[assertObjectOK];[])
IncreaseFieldSecurity(com.github.dcevm.test.body.StaticTest.Helper.A.B.C.D;;[longField];[];[])
IncreaseFieldSecurity(com.github.dcevm.TestClassAdapter.SingleByteAttribute;;[class_6];[];[])
