ExtractSuperClass(org.toj.dnd.irctoolkit.game.d6smw.Unit;Class_1;[hp];[setName];[])
PushDownMethod(destruct.Spell;destruct.Spell.Airbending.AirbendingJump.AirbendingTornado.AirbendingGust.AirbendingAir.AirRun.AirAffinity.Earthbending.EarthbendingSpike.EarthbendingShard.EarthbendingSand.EarthbendingWallOfSand.EarthbendingShield.EarthbendingStance.Waterbending.WaterbendingFreeze.WaterSpout.WaterbendingShard.WaterStorm.BreathUnderWater.WaterTreading.Firebending.Firebending_Lava.Firebending_Thrower.Firebending_Wall.FirebendingJump.FirebendingCharge.FireProof.Lightning.LightningStorm.LightningBall.LightningMine.LightningRod.LightningShield.LightningOvercharge.Darkness.DarkSoulBall.DarkSummonBall.DarkAura.DarkTeleport.NOSPELL.Burito;[];[getEarthSpell];[])
MoveMethod(destruct.Spell.Airbending.AirbendingJump.AirbendingTornado.AirbendingGust.AirbendingAir.AirRun.AirAffinity.Earthbending.EarthbendingSpike.EarthbendingShard.EarthbendingSand;opticalraytracer.MyColor;[];[getName];[])
ExtractSuperClass(facturatieSysteem.KlantenSubsysteem.EntityLayer.Klant;Class_2;[Adres|Betaalwijze|TelefoonNr|VerzekeringPolissen];[getBSN|getPostcode|getVerzekeringPolissen];[])
ExtractSuperClass(destruct.OrderedOutputStream.Message;Class_3;[BB];[constructTime];[])
ExtractSubClass(floobits.common.protocol.buf.TextBuf;Class_4;[];[];[])
IncreaseMethodSecurity(org.toj.dnd.irctoolkit.map.MapGridCell;;[];[getObjRef];[])
ExtractSubClass(destruct.Spell.Airbending.AirbendingJump.AirbendingTornado;Class_5;[];[];[])
PullUpField(grnboolmodel.MenuBarManager.RedirectingMenuItem;java.awt.MenuItem;[event_handler];[];[])
PullUpField(destruct.Spell.Airbending.AirbendingJump.AirbendingTornado.AirbendingGust.AirbendingAir.AirRun.AirAffinity.Earthbending.EarthbendingSpike.EarthbendingShard.EarthbendingSand.EarthbendingWallOfSand.EarthbendingShield.EarthbendingStance;destruct.Earthbending;[number];[];[])
MoveMethod(UI.CodeArea;com.acrs.juscadastro.util.ForcedListSelectionModel;[];[init];[])
DecreaseFieldSecurity(UI.CodeArea;;[forcedlistselectionmodel];[];[])
ExtractClass(org.toj.dnd.irctoolkit.token.Color;Class_6;[color];[getName];[])
ExtractSuperClass(timeBench.calendar.Granule;Class_7;[MODE_INF_GRANULE|granularity|identifier|sup];[contains|getLabel|isRecurring|setContextGranule];[])
IncreaseMethodSecurity(destruct.APPLET.ImagePanel.Row.RowCellRenderer.RowTableModel;;[];[getValueAt];[])
IncreaseFieldSecurity(floobits.common.protocol.buf.TextBuf;;[dmp];[];[])
ExtractSubClass(employee.gui.EmployeePanel.EmployeeDayPanel.EmployeeList;Class_8;[ENTER];[actionPerformed];[])
PullUpField(Entity.SummonBallEntity;Entity.Entity;[radius];[];[])
PullUpMethod(destruct.Spell.Airbending.AirbendingJump.AirbendingTornado.AirbendingGust.AirbendingAir.AirRun.AirAffinity.Earthbending.EarthbendingSpike.EarthbendingShard.EarthbendingSand.EarthbendingWallOfSand.EarthbendingShield.EarthbendingStance.Waterbending.WaterbendingFreeze.WaterSpout.WaterbendingShard.WaterStorm.BreathUnderWater.WaterTreading.Firebending.Firebending_Lava.Firebending_Thrower.Firebending_Wall.FirebendingJump.FirebendingCharge.FireProof.Lightning.LightningStorm.LightningBall.LightningMine.LightningRod;destruct.Lightning;[];[getTip];[])
EncapsulateField(floobits.common.dmp.FlooPatchPosition;;[end];[];[])
ExtractSubClass(destruct.Spell.Airbending.AirbendingJump.AirbendingTornado.AirbendingGust.AirbendingAir.AirRun.AirAffinity.Earthbending.EarthbendingSpike.EarthbendingShard.EarthbendingSand.EarthbendingWallOfSand.EarthbendingShield.EarthbendingStance.Waterbending.WaterbendingFreeze.WaterSpout.WaterbendingShard.WaterStorm.BreathUnderWater.WaterTreading.Firebending.Firebending_Lava.Firebending_Thrower.Firebending_Wall.FirebendingJump.FirebendingCharge.FireProof.Lightning.LightningStorm.LightningBall.LightningMine.LightningRod.LightningShield.LightningOvercharge.Darkness.DarkSoulBall;Class_9;[];[];[])
EncapsulateField(org.leialearns.logic.prefixfree.PrefixDecoderFactoryImpl.BinaryReader;;[bits];[];[])
