Size
117,736
80,856
80,729
84,743
109,433
86,687
79,326
88,670
71,750
99,021
114,287
108,646
102,297
111,114
96,219
80,760
77,203
98,736
78,845
114,123
115,372
91,608
72,068
73,757
78,029
72,677
89,028
111,168
90,700
78,093
110,802
88,813
119,212
105,666
104,515
77,135
79,676
89,901
119,216
93,719
107,839
72,381
73,036
78,720
77,206
91,784
99,133
78,033
84,125
76,387
99,029
84,789
73,381
89,425
88,796
120,229
108,582
99,861
73,439
100,163
100,698
72,687
86,840
79,200
118,369
88,321
89,856
73,365
93,378
78,111
83,560
88,376
87,745
99,148
90,118
78,672
82,312
103,769
106,687
113,456
83,842
112,196
117,633
104,415
82,098
72,560
77,614
95,062
83,545
109,163
100,261
118,668
113,687
99,510
95,969
109,016
85,704
74,731
85,605
77,185
108,844
111,655
80,470
119,372
85,054
120,072
73,987
91,869
91,700
109,506
91,192
102,114
114,979
74,945
112,304
91,446
79,633
79,943
86,738
82,055
75,278
80,779
103,608
91,250
97,844
85,440
80,123
83,833
88,399
115,469
98,089
111,161
81,740
116,721
119,016
111,156
79,088
97,798
116,868
96,753
108,914
98,335
93,181
85,287
94,988
92,858
82,094
113,101
113,031
73,545
115,531
79,079
97,629
117,279
75,860
76,135
84,153
81,803
71,838
80,270
88,180
83,808
84,165
101,790
76,660
101,477
80,110
77,517
98,596
83,045
82,163
100,775
76,181
108,074
79,487
84,972
97,035
103,023
102,219
112,584
92,609
106,269
90,855
85,240
107,532
100,716
92,063
90,803
110,423
103,101
81,103
119,591
78,741
79,018
72,060
91,528
90,601
111,227
107,264
95,943
89,583
87,107
112,717
97,952
94,602
74,266
115,110
95,882
102,303
84,278
117,856
89,067
107,599
88,801
77,868
80,645
79,819
97,746
75,156
90,295
90,052
108,596
97,963
95,980
112,924
84,684
84,281
95,719
93,404
71,785
102,311
96,374
111,364
81,562
82,885
96,375
101,930
71,513
101,295
90,842
73,560
117,946
81,299
74,503
88,630
73,073
108,182
95,645
79,164
91,367
102,205
77,055
83,343
120,574
116,323
92,756
78,237
80,520
81,794
108,068
74,031
83,830
85,550
102,784
87,736
85,753
85,680
100,214
99,682
72,642
93,409
72,738
90,868
112,041
83,769
72,999
84,942
71,801
75,927
82,920
87,064
75,356
72,981
76,829
119,760
89,556
83,184
102,090
89,824
83,086
115,659
94,348
72,783
97,845
82,650
112,746
89,233
112,473
85,269
74,706
104,546
90,080
82,832
108,504
74,458
106,147
84,343
75,710
82,707
116,581
97,635
92,975
117,467
114,674
117,273
74,246
86,440
88,760
112,744
74,992
84,161
99,609
103,424
101,343
97,104
103,686
114,730
112,707
84,189
81,983
75,097
87,113
77,169
119,062
89,052
78,033
75,952
86,763
113,079
117,474
80,528
75,628
74,110
96,949
83,490
108,095
105,573
79,862
80,688
114,964
72,744
90,459
120,469
117,570
97,134
111,513
78,262
95,186
105,876
91,555
115,138
100,737
119,172
87,177
106,260
76,508
82,512
79,917
98,795
85,625
114,695
75,806
86,191
92,800
101,427
